sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,639564635869900,0.001394,0,idle,-1,0,0,0,,,,,could not convert string to float: '',",1671599,1444185"
1,639564636240200,0.0017643,0,idle,-1,0,0,0,3,1658234.0,1671956.0,1444449.0,,"1658234,1671956,1444449"
2,639564636600200,0.0021243,0,idle,-1,0,0,0,3,1658849.0,1672399.0,1444771.0,,"1658849,1672399,1444771"
3,639564636949000,0.0024731,0,idle,-1,0,0,0,3,1659584.0,1672944.0,1445179.0,,"1659584,1672944,1445179"
4,639564637319900,0.002844,0,idle,-1,0,0,0,3,1660681.0,1673710.0,1445834.0,,"1660681,1673710,1445834"
5,639564637911300,0.0034354,0,idle,-1,0,0,0,3,1661504.0,1674301.0,1446329.0,,"1661504,1674301,1446329"
6,639564638628200,0.0041523,0,idle,-1,0,0,0,3,1661814.0,1674543.0,1446438.0,,"1661814,1674543,1446438"
7,639564639169800,0.0046939,0,idle,-1,0,0,0,3,1661793.0,1674549.0,1446329.0,,"1661793,1674549,1446329"
8,639564639606800,0.0051309,0,idle,-1,0,0,0,3,1661456.0,1674362.0,1446085.0,,"1661456,1674362,1446085"
9,639564640014600,0.0055387,0,idle,-1,0,0,0,3,1660803.0,1673983.0,1445625.0,,"1660803,1673983,1445625"
10,639564640536300,0.0060604,1,fixation_before,0,639564636442900,0,0,3,1659972.0,1673451.0,1445051.0,,"1659972,1673451,1445051"
11,639564641207100,0.0067312,1,fixation_before,0,639564636442900,0,0,3,1659164.0,1672958.0,1444546.0,,"1659164,1672958,1444546"
12,639564641766000,0.0072901,1,fixation_before,0,639564636442900,0,0,3,1658464.0,1672553.0,1444088.0,,"1658464,1672553,1444088"
13,639564642238400,0.0077625,1,fixation_before,0,639564636442900,0,0,3,1657783.0,1672141.0,1443614.0,,"1657783,1672141,1443614"
14,639564642765400,0.0082895,1,fixation_before,0,639564636442900,0,0,3,1656766.0,1671498.0,1442948.0,,"1656766,1671498,1442948"
15,639564643395000,0.0089191,1,fixation_before,0,639564636442900,0,0,3,1656186.0,1671139.0,1442576.0,,"1656186,1671139,1442576"
16,639564644222400,0.0097465,1,fixation_before,0,639564636442900,0,0,3,1656185.0,1671210.0,1442578.0,,"1656185,1671210,1442578"
17,639564645069800,0.0105939,1,fixation_before,0,639564636442900,0,0,3,1656218.0,1671301.0,1442624.0,,"1656218,1671301,1442624"
18,639564646019200,0.0115433,1,fixation_before,0,639564636442900,0,0,3,1656340.0,1671425.0,1442683.0,,"1656340,1671425,1442683"
19,639564646805500,0.0123296,1,fixation_before,0,639564636442900,0,0,3,1656568.0,1671640.0,1442790.0,,"1656568,1671640,1442790"
20,639564647895900,0.01342,1,fixation_before,0,639564636442900,0,0,3,1656931.0,1671918.0,1442975.0,,"1656931,1671918,1442975"
21,639564648531800,0.0140559,1,fixation_before,0,639564636442900,0,0,3,1657371.0,1672253.0,1443203.0,,"1657371,1672253,1443203"
22,639564649250400,0.0147745,1,fixation_before,0,639564636442900,0,0,3,1657941.0,1672684.0,1443519.0,,"1657941,1672684,1443519"
23,639564649869800,0.0153939,1,fixation_before,0,639564636442900,0,0,3,1658714.0,1673244.0,1443993.0,,"1658714,1673244,1443993"
24,639564651014100,0.0165382,1,fixation_before,0,639564636442900,0,0,3,1659814.0,1674018.0,1444638.0,,"1659814,1674018,1444638"
25,639564651721700,0.0172458,1,fixation_before,0,639564636442900,0,0,3,1660661.0,1674612.0,1445064.0,,"1660661,1674612,1445064"
26,639564652343200,0.0178673,1,fixation_before,0,639564636442900,0,0,3,1660945.0,1674874.0,1445174.0,,"1660945,1674874,1445174"
27,639564653294300,0.0188184,1,fixation_before,0,639564636442900,0,0,3,1660898.0,1674883.0,1445083.0,,"1660898,1674883,1445083"
28,639564654355000,0.0198791,1,fixation_before,0,639564636442900,0,0,3,1660580.0,1674702.0,1444830.0,,"1660580,1674702,1444830"
29,639564655375800,0.0208999,1,fixation_before,0,639564636442900,0,0,3,1659926.0,1674305.0,1444364.0,,"1659926,1674305,1444364"
30,639564656020100,0.0215442,1,fixation_before,0,639564636442900,0,0,3,1659076.0,1673805.0,1443792.0,,"1659076,1673805,1443792"
31,639564656599500,0.0221236,1,fixation_before,0,639564636442900,0,0,3,1658290.0,1673316.0,1443276.0,,"1658290,1673316,1443276"
32,639564657221700,0.0227458,1,fixation_before,0,639564636442900,0,0,3,1657639.0,1672910.0,1442844.0,,"1657639,1672910,1442844"
33,639564658093200,0.0236173,1,fixation_before,0,639564636442900,0,0,3,1656965.0,1672521.0,1442386.0,,"1656965,1672521,1442386"
34,639564660026400,0.0255505,1,fixation_before,0,639564636442900,0,0,3,1655935.0,1671881.0,1441706.0,,"1655935,1671881,1441706"
35,639564660990400,0.0265145,1,fixation_before,0,639564636442900,0,0,3,1655335.0,1671527.0,1441348.0,,"1655335,1671527,1441348"
36,639564662099600,0.0276237,1,fixation_before,0,639564636442900,0,0,3,1655323.0,1671558.0,1441358.0,,"1655323,1671558,1441358"
37,639564663131300,0.0286554,1,fixation_before,0,639564636442900,0,0,3,1655401.0,1671665.0,1441359.0,,"1655401,1671665,1441359"
38,639564663695100,0.0292192,1,fixation_before,0,639564636442900,0,0,3,1655500.0,1671825.0,1441418.0,,"1655500,1671825,1441418"
39,639564664242300,0.0297664,1,fixation_before,0,639564636442900,0,0,3,1655729.0,1672019.0,1441533.0,,"1655729,1672019,1441533"
40,639564664829100,0.0303532,1,fixation_before,0,639564636442900,0,0,3,1656071.0,1672283.0,1441708.0,,"1656071,1672283,1441708"
41,639564665303200,0.0308273,1,fixation_before,0,639564636442900,0,0,3,1656528.0,1672643.0,1441956.0,,"1656528,1672643,1441956"
42,639564665654000,0.0311781,1,fixation_before,0,639564636442900,0,0,3,1657143.0,1673081.0,1442301.0,,"1657143,1673081,1442301"
43,639564666022100,0.0315462,1,fixation_before,0,639564636442900,0,0,3,1657915.0,1673623.0,1442736.0,,"1657915,1673623,1442736"
44,639564666486000,0.0320101,1,fixation_before,0,639564636442900,0,0,3,1658981.0,1674381.0,1443375.0,,"1658981,1674381,1443375"
45,639564667171200,0.0326953,1,fixation_before,0,639564636442900,0,0,3,1659836.0,1674974.0,1443831.0,,"1659836,1674974,1443831"
46,639564667818100,0.0333422,1,fixation_before,0,639564636442900,0,0,3,1660149.0,1675226.0,1443968.0,,"1660149,1675226,1443968"
47,639564668465500,0.0339896,1,fixation_before,0,639564636442900,0,0,3,1660089.0,1675238.0,1443905.0,,"1660089,1675238,1443905"
48,639564668857000,0.0343811,1,fixation_before,0,639564636442900,0,0,3,1659746.0,1675044.0,1443624.0,,"1659746,1675044,1443624"
49,639564669336300,0.0348604,1,fixation_before,0,639564636442900,0,0,3,1659108.0,1674655.0,1443163.0,,"1659108,1674655,1443163"
50,639564669847300,0.0353714,1,fixation_before,0,639564636442900,0,0,3,1658266.0,1674124.0,1442597.0,,"1658266,1674124,1442597"
51,639564670347600,0.0358717,1,fixation_before,0,639564636442900,0,0,3,1657448.0,1673636.0,1442031.0,,"1657448,1673636,1442031"
52,639564670752600,0.0362767,1,fixation_before,1,639564668900700,0,0,3,1656809.0,1673218.0,1441613.0,,"1656809,1673218,1441613"
53,639564671114100,0.0366382,1,fixation_before,1,639564668900700,0,0,3,1656141.0,1672818.0,1441201.0,,"1656141,1672818,1441201"
54,639564671640200,0.0371643,1,fixation_before,1,639564668900700,0,0,3,1655098.0,1672196.0,1440534.0,,"1655098,1672196,1440534"
55,639564671963400,0.0374875,1,fixation_before,1,639564668900700,0,0,3,1654510.0,1671878.0,1440183.0,,"1654510,1671878,1440183"
56,639564672205900,0.03773,1,fixation_before,1,639564668900700,0,0,3,1654483.0,1671911.0,1440196.0,,"1654483,1671911,1440196"
57,639564672436600,0.0379607,1,fixation_before,1,639564668900700,0,0,3,1654538.0,1671999.0,1440192.0,,"1654538,1671999,1440192"
58,639564672667500,0.0381916,1,fixation_before,1,639564668900700,0,0,3,1654684.0,1672119.0,1440257.0,,"1654684,1672119,1440257"
59,639564672898500,0.0384226,1,fixation_before,1,639564668900700,0,0,3,1654936.0,1672350.0,1440396.0,,"1654936,1672350,1440396"
60,639564673128600,0.0386527,1,fixation_before,1,639564668900700,0,0,3,1655297.0,1672599.0,1440563.0,,"1655297,1672599,1440563"
61,639564673365700,0.0388898,1,fixation_before,1,639564668900700,0,0,3,1655714.0,1672963.0,1440825.0,,"1655714,1672963,1440825"
62,639564673598200,0.0391223,1,fixation_before,1,639564668900700,0,0,3,1656294.0,1673406.0,1441180.0,,"1656294,1673406,1441180"
63,639564673828800,0.0393529,1,fixation_before,1,639564668900700,0,0,3,1657074.0,1673976.0,1441589.0,,"1657074,1673976,1441589"
64,639564674062600,0.0395867,1,fixation_before,1,639564668900700,0,0,3,1658187.0,1674744.0,1442238.0,,"1658187,1674744,1442238"
65,639564674303300,0.0398274,1,fixation_before,1,639564668900700,0,0,3,1659009.0,1675344.0,1442708.0,,"1659009,1675344,1442708"
66,639564674549100,0.0400732,1,fixation_before,1,639564668900700,0,0,3,1659291.0,1675586.0,1442826.0,,"1659291,1675586,1442826"
67,639564674771900,0.040296,1,fixation_before,1,639564668900700,0,0,3,1659254.0,1675595.0,1442740.0,,"1659254,1675595,1442740"
68,639564674999500,0.0405236,1,fixation_before,1,639564668900700,0,0,3,1658920.0,1675428.0,1442465.0,,"1658920,1675428,1442465"
69,639564675228400,0.0407525,1,fixation_before,1,639564668900700,0,0,3,1658251.0,1675059.0,1442021.0,,"1658251,1675059,1442021"
70,639564675453300,0.0409774,1,fixation_before,1,639564668900700,0,0,3,1657421.0,1674506.0,1441456.0,,"1657421,1674506,1441456"
71,639564675676300,0.0412004,1,fixation_before,1,639564668900700,0,0,3,1656625.0,1674047.0,1440925.0,,"1656625,1674047,1440925"
72,639564675899800,0.0414239,1,fixation_before,1,639564668900700,0,0,3,1655946.0,1673663.0,1440502.0,,"1655946,1673663,1440502"
73,639564676124200,0.0416483,1,fixation_before,1,639564668900700,0,0,3,1655287.0,1673264.0,1440066.0,,"1655287,1673264,1440066"
74,639564676348100,0.0418722,1,fixation_before,1,639564668900700,0,0,3,1654263.0,1672625.0,1439398.0,,"1654263,1672625,1439398"
75,639564676572200,0.0420963,1,fixation_before,1,639564668900700,0,0,3,1653661.0,1672287.0,1439022.0,,"1653661,1672287,1439022"
76,639564676798200,0.0423223,1,fixation_before,1,639564668900700,0,0,3,1653666.0,1672348.0,1439023.0,,"1653666,1672348,1439023"
77,639564677023200,0.0425473,1,fixation_before,1,639564668900700,0,0,3,1653711.0,1672419.0,1439019.0,,"1653711,1672419,1439019"
78,639564677327300,0.0428514,1,fixation_before,1,639564668900700,0,0,3,1653833.0,1672558.0,1439079.0,,"1653833,1672558,1439079"
79,639564677617700,0.0431418,1,fixation_before,1,639564668900700,0,0,3,1654056.0,1672761.0,1439184.0,,"1654056,1672761,1439184"
80,639564677847900,0.043372,1,fixation_before,1,639564668900700,0,0,3,1654367.0,1673018.0,1439356.0,,"1654367,1673018,1439356"
81,639564678208200,0.0437323,1,fixation_before,1,639564668900700,0,0,3,1654847.0,1673362.0,1439617.0,,"1654847,1673362,1439617"
82,639564678534400,0.0440585,1,fixation_before,1,639564668900700,0,0,3,1655439.0,1673799.0,1439963.0,,"1655439,1673799,1439963"
83,639564678814000,0.0443381,1,fixation_before,1,639564668900700,0,0,3,1656189.0,1674393.0,1440401.0,,"1656189,1674393,1440401"
84,639564679065600,0.0445897,1,fixation_before,1,639564668900700,0,0,3,1657287.0,1675149.0,1441044.0,,"1657287,1675149,1441044"
85,639564679324000,0.0448481,1,fixation_before,1,639564668900700,0,0,3,1658119.0,1675739.0,1441476.0,,"1658119,1675739,1441476"
86,639564679581300,0.0451054,1,fixation_before,1,639564668900700,0,0,3,1658436.0,1675988.0,1441603.0,,"1658436,1675988,1441603"
87,639564679873700,0.0453978,1,fixation_before,1,639564668900700,0,0,3,1658401.0,1676041.0,1441515.0,,"1658401,1676041,1441515"
88,639564680164400,0.0456885,1,fixation_before,1,639564668900700,0,0,3,1658059.0,1675820.0,1441248.0,,"1658059,1675820,1441248"
89,639564680479800,0.0460039,1,fixation_before,1,639564668900700,0,0,3,1657413.0,1675410.0,1440780.0,,"1657413,1675410,1440780"
90,639564680792800,0.0463169,1,fixation_before,1,639564668900700,0,0,3,1656591.0,1674918.0,1440209.0,,"1656591,1674918,1440209"
91,639564681079200,0.0466033,1,fixation_before,1,639564668900700,0,0,3,1655769.0,1674439.0,1439678.0,,"1655769,1674439,1439678"
92,639564681519400,0.0470435,1,fixation_before,1,639564668900700,0,0,3,1655106.0,1674028.0,1439261.0,,"1655106,1674028,1439261"
93,639564681913100,0.0474372,1,fixation_before,1,639564668900700,0,0,3,1654454.0,1673633.0,1438823.0,,"1654454,1673633,1438823"
94,639564682347400,0.0478715,1,fixation_before,1,639564668900700,0,0,3,1653441.0,1672994.0,1438172.0,,"1653441,1672994,1438172"
95,639564682791900,0.048316,1,fixation_before,2,639564681677700,0,0,3,1652813.0,1672675.0,1437808.0,,"1652813,1672675,1437808"
96,639564683327000,0.0488511,1,fixation_before,2,639564681677700,0,0,3,1652791.0,1672707.0,1437818.0,,"1652791,1672707,1437818"
97,639564683791200,0.0493153,1,fixation_before,2,639564681677700,0,0,3,1652856.0,1672778.0,1437781.0,,"1652856,1672778,1437781"
98,639564684388000,0.0499121,1,fixation_before,2,639564681677700,0,0,3,1653005.0,1672906.0,1437845.0,,"1653005,1672906,1437845"
99,639564684898200,0.0504223,1,fixation_before,2,639564681677700,0,0,3,1653229.0,1673131.0,1437981.0,,"1653229,1673131,1437981"
100,639564685424400,0.0509485,1,fixation_before,2,639564681677700,0,0,3,1653562.0,1673421.0,1438154.0,,"1653562,1673421,1438154"
101,639564685902400,0.0514265,1,fixation_before,2,639564681677700,0,0,3,1654024.0,1673761.0,1438421.0,,"1654024,1673761,1438421"
102,639564686371700,0.0518958,1,fixation_before,2,639564681677700,0,0,3,1654613.0,1674180.0,1438744.0,,"1654613,1674180,1438744"
103,639564686893700,0.0524178,1,fixation_before,2,639564681677700,0,0,3,1655403.0,1674721.0,1439205.0,,"1655403,1674721,1439205"
104,639564687339600,0.0528637,1,fixation_before,2,639564681677700,0,0,3,1656485.0,1675524.0,1439840.0,,"1656485,1675524,1439840"
105,639564687755200,0.0532793,1,fixation_before,2,639564681677700,0,0,3,1657316.0,1676134.0,1440251.0,,"1657316,1676134,1440251"
106,639564688145900,0.05367,1,fixation_before,2,639564681677700,0,0,3,1657624.0,1676378.0,1440381.0,,"1657624,1676378,1440381"
107,639564688497700,0.0540218,1,fixation_before,2,639564681677700,0,0,3,1657600.0,1676383.0,1440295.0,,"1657600,1676383,1440295"
108,639564688850200,0.0543743,1,fixation_before,2,639564681677700,0,0,3,1657268.0,1676196.0,1440044.0,,"1657268,1676196,1440044"
109,639564689214300,0.0547384,1,fixation_before,2,639564681677700,0,0,3,1656626.0,1675793.0,1439573.0,,"1656626,1675793,1439573"
110,639564689701200,0.0552253,1,fixation_before,2,639564681677700,0,0,3,1655780.0,1675283.0,1439013.0,,"1655780,1675283,1439013"
111,639564690036400,0.0555605,1,fixation_before,2,639564681677700,0,0,3,1654979.0,1674787.0,1438480.0,,"1654979,1674787,1438480"
112,639564690353600,0.0558777,1,fixation_before,2,639564681677700,0,0,3,1654330.0,1674425.0,1438069.0,,"1654330,1674425,1438069"
113,639564690586800,0.0561109,1,fixation_before,2,639564681677700,0,0,3,1653631.0,1674041.0,1437616.0,,"1653631,1674041,1437616"
114,639564690810200,0.0563343,1,fixation_before,2,639564681677700,0,0,3,1652589.0,1673377.0,1436945.0,,"1652589,1673377,1436945"
115,639564691032800,0.0565569,1,fixation_before,2,639564681677700,0,0,3,1651989.0,1673039.0,1436594.0,,"1651989,1673039,1436594"
116,639564691267500,0.0567916,1,fixation_before,2,639564681677700,0,0,3,1652002.0,1673099.0,1436605.0,,"1652002,1673099,1436605"
117,639564691493200,0.0570173,1,fixation_before,2,639564681677700,0,0,3,1652049.0,1673179.0,1436601.0,,"1652049,1673179,1436601"
118,639564691717900,0.057242,1,fixation_before,2,639564681677700,0,0,3,1652174.0,1673331.0,1436637.0,,"1652174,1673331,1436637"
119,639564691941300,0.0574654,1,fixation_before,2,639564681677700,0,0,3,1652438.0,1673528.0,1436752.0,,"1652438,1673528,1436752"
120,639564692163600,0.0576877,1,fixation_before,2,639564681677700,0,0,3,1652781.0,1673806.0,1436941.0,,"1652781,1673806,1436941"
121,639564692403100,0.0579272,1,fixation_before,2,639564681677700,0,0,3,1653227.0,1674173.0,1437184.0,,"1653227,1674173,1437184"
122,639564692639700,0.0581638,1,fixation_before,2,639564681677700,0,0,3,1653802.0,1674594.0,1437536.0,,"1653802,1674594,1437536"
123,639564692901000,0.0584251,1,fixation_before,2,639564681677700,0,0,3,1654585.0,1675124.0,1437977.0,,"1654585,1675124,1437977"
124,639564693157300,0.0586814,1,fixation_before,2,639564681677700,0,0,3,1655667.0,1675901.0,1438621.0,,"1655667,1675901,1438621"
