frame_index,phase_code,phase_name,phase_frame_index,present_time_ns,experiment_time_s,stimulus_active,stimulus_on_mask,stimulus_center_10_0hz_on
0,1,fixation_before,0,182828488513700,0.0015155,0,0,0
1,1,fixation_before,1,182828490005800,0.0030076,0,0,0
2,1,fixation_before,2,182828490526100,0.0035279,0,0,0
3,1,fixation_before,3,182828491685000,0.0046868,0,0,0
4,1,fixation_before,4,182828498990500,0.0119923,0,0,0
5,1,fixation_before,5,182828515712300,0.0287141,0,0,0
6,1,fixation_before,6,182828532327700,0.0453295,0,0,0
7,1,fixation_before,7,182828548978300,0.0619801,0,0,0
8,1,fixation_before,8,182828565667300,0.0786691,0,0,0
9,1,fixation_before,9,182828582296300,0.0952981,0,0,0
10,1,fixation_before,10,182828599027900,0.1120297,0,0,0
11,1,fixation_before,11,182828615688100,0.1286899,0,0,0
12,1,fixation_before,12,182828632442300,0.1454441,0,0,0
13,1,fixation_before,13,182828648972500,0.1619743,0,0,0
14,1,fixation_before,14,182828665634300,0.1786361,0,0,0
15,1,fixation_before,15,182828682300200,0.195302,0,0,0
16,1,fixation_before,16,182828698978300,0.2119801,0,0,0
17,1,fixation_before,17,182828715649000,0.2286508,0,0,0
18,1,fixation_before,18,182828732332100,0.2453339,0,0,0
19,1,fixation_before,19,182828748947800,0.2619496,0,0,0
20,1,fixation_before,20,182828765667700,0.2786695,0,0,0
21,1,fixation_before,21,182828782255000,0.2952568,0,0,0
22,1,fixation_before,22,182828799034700,0.3120365,0,0,0
23,1,fixation_before,23,182828815589500,0.3285913,0,0,0
24,1,fixation_before,24,182828832248800,0.3452506,0,0,0
25,1,fixation_before,25,182828848937900,0.3619397,0,0,0
26,1,fixation_before,26,182828865588700,0.3785905,0,0,0
27,1,fixation_before,27,182828882284100,0.3952859,0,0,0
28,1,fixation_before,28,182828899096200,0.412098,0,0,0
29,1,fixation_before,29,182828915636200,0.428638,0,0,0
30,1,fixation_before,30,182828932252400,0.4452542,0,0,0
31,1,fixation_before,31,182828948921200,0.461923,0,0,0
32,1,fixation_before,32,182828965605600,0.4786074,0,0,0
