phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,15639,15.0755372,276536.0
fixation_after,ch1,max,2,15699,15.1355357,275366.0
fixation_after,ch1,min,1,23356,22.7927676,181760.0
fixation_after,ch1,min,2,23336,22.7727425,181802.0
fixation_after,ch2,max,1,18994,18.4306177,8379788.0
fixation_after,ch2,max,2,19054,18.4906415,8379503.0
fixation_after,ch2,min,1,22788,22.22471,897585.0
fixation_after,ch2,min,2,22768,22.2047244,981545.0
fixation_after,ch3,max,1,23619,23.0557508,8388607.0
fixation_after,ch3,max,2,24360,23.7967715,8388607.0
fixation_after,ch3,min,1,22788,22.22471,4036609.0
fixation_after,ch3,min,2,22768,22.2047244,4080859.0
fixation_before,ch1,max,1,33,0.0107788,289680.0
fixation_before,ch1,max,2,213,0.0598095,289311.0
fixation_before,ch1,min,1,10467,9.9034169,199024.0
fixation_before,ch1,min,2,10187,9.6234138,199606.0
fixation_before,ch2,max,1,366,0.1013699,8388607.0
fixation_before,ch2,max,2,10350,9.786412,8388607.0
fixation_before,ch2,min,1,96,0.0280014,6627149.0
fixation_before,ch2,min,2,116,0.0334033,6629691.0
fixation_before,ch3,min,1,76,0.0226091,7537464.0
fixation_before,ch3,min,2,96,0.0280014,7539343.0
idle,ch1,max,1,2,0.0014945,222928.0
idle,ch1,min,1,3,0.0017882,212876.0
stimulus,ch1,max,1,11377,10.8134354,280642.0
stimulus,ch1,max,2,10637,10.073408,280495.0
stimulus,ch1,min,1,15189,14.6255117,193446.0
stimulus,ch1,min,2,15229,14.6655564,193511.0
stimulus,ch2,max,1,10590,10.0264438,8386452.0
stimulus,ch2,max,2,10510,9.9464229,8385742.0
stimulus,ch2,min,1,15001,14.4375701,6646009.0
stimulus,ch2,min,2,15041,14.4775377,6646226.0
stimulus,ch3,min,1,14941,14.3775423,7607279.0
stimulus,ch3,min,2,14961,14.3975406,7607805.0
