frame_index,phase_code,phase_name,phase_frame_index,present_time_ns,experiment_time_s,stimulus_active,stimulus_on_mask,stimulus_center_10_0hz_on
0,1,fixation_before,0,639564636442900,0.001967,0,0,0
1,1,fixation_before,1,639564668900700,0.0344248,0,0,0
2,1,fixation_before,2,639564681677700,0.0472018,0,0,0
3,1,fixation_before,3,639564698827100,0.0643512,0,0,0
4,1,fixation_before,4,639564715532300,0.0810564,0,0,0
5,1,fixation_before,5,639564732491400,0.0980155,0,0,0
6,1,fixation_before,6,639564748693700,0.1142178,0,0,0
7,1,fixation_before,7,639564764715400,0.1302395,0,0,0
8,1,fixation_before,8,639564781547300,0.1470714,0,0,0
9,1,fixation_before,9,639564798283900,0.163808,0,0,0
10,1,fixation_before,10,639564815140800,0.1806649,0,0,0
11,1,fixation_before,11,639564831844200,0.1973683,0,0,0
12,1,fixation_before,12,639564848177400,0.2137015,0,0,0
13,1,fixation_before,13,639564864387300,0.2299114,0,0,0
14,1,fixation_before,14,639564885323500,0.2508476,0,0,0
15,1,fixation_before,15,639564898675000,0.2641991,0,0,0
16,1,fixation_before,16,639564915239200,0.2807633,0,0,0
17,1,fixation_before,17,639564931171700,0.2966958,0,0,0
18,1,fixation_before,18,639564948455900,0.31398,0,0,0
19,1,fixation_before,19,639564965484200,0.3310083,0,0,0
20,1,fixation_before,20,639564981529700,0.3470538,0,0,0
21,1,fixation_before,21,639564998237400,0.3637615,0,0,0
22,1,fixation_before,22,639565016106700,0.3816308,0,0,0
23,1,fixation_before,23,639565031387700,0.3969118,0,0,0
24,1,fixation_before,24,639565048453800,0.4139779,0,0,0
25,1,fixation_before,25,639565065531200,0.4310553,0,0,0
26,1,fixation_before,26,639565081098600,0.4466227,0,0,0
27,1,fixation_before,27,639565098538000,0.4640621,0,0,0
28,1,fixation_before,28,639565115055700,0.4805798,0,0,0
29,1,fixation_before,29,639565131861600,0.4973857,0,0,0
30,1,fixation_before,30,639565149072100,0.5145962,0,0,0
31,1,fixation_before,31,639565165348700,0.5308728,0,0,0
32,1,fixation_before,32,639565181425300,0.5469494,0,0,0
33,1,fixation_before,33,639565198663500,0.5641876,0,0,0
34,1,fixation_before,34,639565214874400,0.5803985,0,0,0
35,1,fixation_before,35,639565230946400,0.5964705,0,0,0
36,1,fixation_before,36,639565248551400,0.6140755,0,0,0
37,1,fixation_before,37,639565264538200,0.6300623,0,0,0
38,1,fixation_before,38,639565281537300,0.6470614,0,0,0
39,1,fixation_before,39,639565298115900,0.66364,0,0,0
40,1,fixation_before,40,639565315110500,0.6806346,0,0,0
41,1,fixation_before,41,639565332349400,0.6978735,0,0,0
42,1,fixation_before,42,639565348990100,0.7145142,0,0,0
43,1,fixation_before,43,639565364780500,0.7303046,0,0,0
44,1,fixation_before,44,639565382310500,0.7478346,0,0,0
45,1,fixation_before,45,639565399206500,0.7647306,0,0,0
46,1,fixation_before,46,639565415472600,0.7809967,0,0,0
47,1,fixation_before,47,639565432157500,0.7976816,0,0,0
48,1,fixation_before,48,639565447998000,0.8135221,0,0,0
49,1,fixation_before,49,639565464674600,0.8301987,0,0,0
50,1,fixation_before,50,639565481542500,0.8470666,0,0,0
51,1,fixation_before,51,639565498056000,0.8635801,0,0,0
52,1,fixation_before,52,639565514632800,0.8801569,0,0,0
53,1,fixation_before,53,639565531993200,0.8975173,0,0,0
54,1,fixation_before,54,639565547439700,0.9129638,0,0,0
55,1,fixation_before,55,639565563744400,0.9292685,0,0,0
56,1,fixation_before,56,639565580843400,0.9463675,0,0,0
57,1,fixation_before,57,639565596854800,0.9623789,0,0,0
58,1,fixation_before,58,639565613980000,0.9795041,0,0,0
59,1,fixation_before,59,639565630393400,0.9959175,0,0,0
60,1,fixation_before,60,639565646765800,1.0122899,0,0,0
61,1,fixation_before,61,639565663564800,1.0290889,0,0,0
62,1,fixation_before,62,639565681019900,1.046544,0,0,0
63,1,fixation_before,63,639565697533900,1.063058,0,0,0
64,1,fixation_before,64,639565713539800,1.0790639,0,0,0
65,1,fixation_before,65,639565730349300,1.0958734,0,0,0
66,1,fixation_before,66,639565747780600,1.1133047,0,0,0
67,1,fixation_before,67,639565763367500,1.1288916,0,0,0
68,1,fixation_before,68,639565782620900,1.148145,0,0,0
69,1,fixation_before,69,639565797009500,1.1625336,0,0,0
70,1,fixation_before,70,639565813722700,1.1792468,0,0,0
71,1,fixation_before,71,639565830101300,1.1956254,0,0,0
72,1,fixation_before,72,639565847562100,1.2130862,0,0,0
73,1,fixation_before,73,639565863312800,1.2288369,0,0,0
74,1,fixation_before,74,639565880485900,1.24601,0,0,0
75,1,fixation_before,75,639565896716300,1.2622404,0,0,0
76,1,fixation_before,76,639565914042200,1.2795663,0,0,0
77,1,fixation_before,77,639565930390100,1.2959142,0,0,0
78,1,fixation_before,78,639565946931900,1.312456,0,0,0
79,1,fixation_before,79,639565963748900,1.329273,0,0,0
80,1,fixation_before,80,639565980210000,1.3457341,0,0,0
81,1,fixation_before,81,639565996912600,1.3624367,0,0,0
82,1,fixation_before,82,639566013619900,1.379144,0,0,0
83,1,fixation_before,83,639566030056500,1.3955806,0,0,0
84,1,fixation_before,84,639566046714700,1.4122388,0,0,0
85,1,fixation_before,85,639566063347800,1.4288719,0,0,0
86,1,fixation_before,86,639566080378200,1.4459023,0,0,0
87,1,fixation_before,87,639566097236200,1.4627603,0,0,0
88,1,fixation_before,88,639566113756000,1.4792801,0,0,0
89,1,fixation_before,89,639566130804400,1.4963285,0,0,0
90,1,fixation_before,90,639566146784900,1.512309,0,0,0
91,1,fixation_before,91,639566164479800,1.5300039,0,0,0
92,1,fixation_before,92,639566180503600,1.5460277,0,0,0
93,1,fixation_before,93,639566196738700,1.5622628,0,0,0
94,1,fixation_before,94,639566213590800,1.5791149,0,0,0
95,1,fixation_before,95,639566230285200,1.5958093,0,0,0
96,1,fixation_before,96,639566246694300,1.6122184,0,0,0
97,1,fixation_before,97,639566263276800,1.6288009,0,0,0
98,1,fixation_before,98,639566279961800,1.6454859,0,0,0
99,1,fixation_before,99,639566296762800,1.6622869,0,0,0
100,1,fixation_before,100,639566313117300,1.6786414,0,0,0
101,1,fixation_before,101,639566330392500,1.6959166,0,0,0
102,1,fixation_before,102,639566346841500,1.7123656,0,0,0
103,1,fixation_before,103,639566363232800,1.7287569,0,0,0
104,1,fixation_before,104,639566379928100,1.7454522,0,0,0
105,1,fixation_before,105,639566396620600,1.7621447,0,0,0
106,1,fixation_before,106,639566413406600,1.7789307,0,0,0
107,1,fixation_before,107,639566430588300,1.7961124,0,0,0
108,1,fixation_before,108,639566446892200,1.8124163,0,0,0
109,1,fixation_before,109,639566463616500,1.8291406,0,0,0
110,1,fixation_before,110,639566480370300,1.8458944,0,0,0
111,1,fixation_before,111,639566497357300,1.8628814,0,0,0
112,1,fixation_before,112,639566514995900,1.88052,0,0,0
113,1,fixation_before,113,639566530487200,1.8960113,0,0,0
114,1,fixation_before,114,639566546780700,1.9123048,0,0,0
115,1,fixation_before,115,639566563788000,1.9293121,0,0,0
116,1,fixation_before,116,639566580533500,1.9460576,0,0,0
117,1,fixation_before,117,639566597563100,1.9630872,0,0,0
118,1,fixation_before,118,639566614077000,1.9796011,0,0,0
119,1,fixation_before,119,639566630487200,1.9960113,0,0,0
120,1,fixation_before,120,639566646884300,2.0124084,0,0,0
121,1,fixation_before,121,639566663794800,2.0293189,0,0,0
122,1,fixation_before,122,639566679980600,2.0455047,0,0,0
123,1,fixation_before,123,639566697631200,2.0631553,0,0,0
124,1,fixation_before,124,639566713474000,2.0789981,0,0,0
125,1,fixation_before,125,639566730580400,2.0961045,0,0,0
126,1,fixation_before,126,639566747022800,2.1125469,0,0,0
127,1,fixation_before,127,639566763471200,2.1289953,0,0,0
128,1,fixation_before,128,639566780411600,2.1459357,0,0,0
129,1,fixation_before,129,639566796780000,2.1623041,0,0,0
130,1,fixation_before,130,639566813762100,2.1792862,0,0,0
131,1,fixation_before,131,639566830419700,2.1959438,0,0,0
132,1,fixation_before,132,639566847249700,2.2127738,0,0,0
133,1,fixation_before,133,639566863753900,2.229278,0,0,0
134,1,fixation_before,134,639566880575100,2.2460992,0,0,0
135,1,fixation_before,135,639566897084800,2.2626089,0,0,0
136,1,fixation_before,136,639566913762500,2.2792866,0,0,0
137,1,fixation_before,137,639566930191000,2.2957151,0,0,0
138,1,fixation_before,138,639566947825800,2.3133499,0,0,0
139,1,fixation_before,139,639566963688600,2.3292127,0,0,0
140,1,fixation_before,140,639566980306300,2.3458304,0,0,0
141,1,fixation_before,141,639566996643200,2.3621673,0,0,0
142,1,fixation_before,142,639567013735400,2.3792595,0,0,0
143,1,fixation_before,143,639567030620100,2.3961442,0,0,0
144,1,fixation_before,144,639567046621900,2.412146,0,0,0
145,1,fixation_before,145,639567063231500,2.4287556,0,0,0
146,1,fixation_before,146,639567080305200,2.4458293,0,0,0
147,1,fixation_before,147,639567097531000,2.4630551,0,0,0
148,1,fixation_before,148,639567116463800,2.4819879,0,0,0
149,1,fixation_before,149,639567130173300,2.4956974,0,0,0
150,1,fixation_before,150,639567146827700,2.5123518,0,0,0
151,1,fixation_before,151,639567164543800,2.5300679,0,0,0
152,1,fixation_before,152,639567179988800,2.5455129,0,0,0
153,1,fixation_before,153,639567196984200,2.5625083,0,0,0
154,1,fixation_before,154,639567213530400,2.5790545,0,0,0
