sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,191915240646600,0.0007549,0,idle,-1,0,0,0,3,367950.0,7715050.0,8388607.0,,"367950,7715050,8388607"
1,191915240971900,0.0010802,0,idle,-1,0,0,0,3,391655.0,7487514.0,8388607.0,,"391655,7487514,8388607"
2,191915241257200,0.0013655,0,idle,-1,0,0,0,3,399354.0,7262864.0,8212299.0,,"399354,7262864,8212299"
3,191915241518800,0.0016271,0,idle,-1,0,0,0,3,403415.0,7046724.0,8004532.0,,"403415,7046724,8004532"
4,191915241786600,0.0018949,0,idle,-1,0,0,0,3,415991.0,6814167.0,7781598.0,,"415991,6814167,7781598"
5,191915242079500,0.0021878,0,idle,-1,0,0,0,3,406724.0,6642391.0,7619544.0,,"406724,6642391,7619544"
6,191915242368300,0.0024766,1,fixation_before,0,191915240927300,0,0,3,386733.0,6556456.0,7542126.0,,"386733,6556456,7542126"
7,191915242674500,0.0027828,1,fixation_before,0,191915240927300,0,0,3,363920.0,6548419.0,7540571.0,,"363920,6548419,7540571"
8,191915242987900,0.0030962,1,fixation_before,1,191915242730400,0,0,3,333589.0,6624116.0,7619740.0,,"333589,6624116,7619740"
9,191915243272900,0.0033812,1,fixation_before,2,191915243015000,0,0,3,318715.0,6732881.0,7729583.0,,"318715,6732881,7729583"
10,191915243542300,0.0036506,1,fixation_before,2,191915243015000,0,0,3,301558.0,6884523.0,7879699.0,,"301558,6884523,7879699"
11,191915243815000,0.0039233,1,fixation_before,2,191915243015000,0,0,3,279624.0,7088924.0,8079569.0,,"279624,7088924,8079569"
12,191915244123900,0.0042322,1,fixation_before,2,191915243015000,0,0,3,274784.0,7297601.0,8281773.0,,"274784,7297601,8281773"
13,191915244397900,0.0045062,1,fixation_before,2,191915243015000,0,0,3,265167.0,7525224.0,8388607.0,,"265167,7525224,8388607"
14,191915244680200,0.0047885,1,fixation_before,3,191915243362400,0,0,3,248388.0,7774691.0,8388607.0,,"248388,7774691,8388607"
15,191915244964700,0.005073,1,fixation_before,4,191915244696700,0,0,3,253559.0,7965083.0,8388607.0,,"253559,7965083,8388607"
16,191915245239700,0.005348,1,fixation_before,4,191915244696700,0,0,3,276317.0,8065451.0,8388607.0,,"276317,8065451,8388607"
17,191915245507500,0.0056158,1,fixation_before,4,191915244696700,0,0,3,293033.0,8095201.0,8388607.0,,"293033,8095201,8388607"
