phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,25262,24.6773662,255378.0
fixation_after,ch1,max,2,25422,24.8374274,255144.0
fixation_after,ch1,min,1,15721,15.1361646,196507.0
fixation_after,ch1,min,2,15841,15.2561617,196598.0
fixation_after,ch2,max,1,19136,18.5512067,-880.0
fixation_after,ch2,max,2,20278,19.6932821,-882.0
fixation_after,ch2,min,1,20262,19.6772934,-1011.0
fixation_after,ch2,min,2,16134,15.5491807,-1010.0
fixation_after,ch3,max,1,18884,18.2992084,7486.0
fixation_after,ch3,max,2,18865,18.2802393,3970.0
fixation_after,ch3,min,1,18523,17.9382517,-15254.0
fixation_after,ch3,min,2,18511,17.9262502,-15159.0
fixation_before,ch1,max,1,1169,0.5838074,222694.0
fixation_before,ch1,max,2,6236,5.6509342,222379.0
fixation_before,ch1,min,1,6867,6.2819278,192444.0
fixation_before,ch1,min,2,6847,6.2619549,192679.0
fixation_before,ch2,max,1,9998,9.4130102,-883.0
fixation_before,ch2,max,2,4323,3.7379605,-886.0
fixation_before,ch2,min,1,10128,9.5430247,-1018.0
fixation_before,ch2,min,2,3292,2.7068546,-1005.0
fixation_before,ch3,max,1,10499,9.914037,3351.0
fixation_before,ch3,max,2,10501,9.9160204,2884.0
fixation_before,ch3,min,1,4330,3.7448852,-21019.0
fixation_before,ch3,min,2,4351,3.7658825,-20861.0
idle,ch1,max,1,2,0.0013539,215658.0
idle,ch1,min,1,1,0.001113,205384.0
idle,ch2,min,1,1,0.001113,-964.0
idle,ch3,min,1,2,0.0013539,-8848.0
stimulus,ch1,max,1,10543,9.9580176,222629.0
stimulus,ch1,max,2,10563,9.978046,221803.0
stimulus,ch1,min,1,12797,12.2120942,191806.0
stimulus,ch1,min,2,14179,13.5941026,192047.0
stimulus,ch2,max,1,11715,11.1300545,-893.0
stimulus,ch2,max,2,11306,10.7209732,-896.0
stimulus,ch2,min,1,15457,14.8721699,-1002.0
stimulus,ch2,min,2,10683,10.0980175,-995.0
stimulus,ch3,max,1,11071,10.4860246,7052.0
stimulus,ch3,max,2,11262,10.6770428,6258.0
stimulus,ch3,min,1,12874,12.2890903,-18238.0
stimulus,ch3,min,2,15088,14.5031508,-16314.0
