sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,197441709741300,0.0041502,1,fixation_before,1,197441708407600,0,0,3,165132.0,-1668406.0,-521572.0,,"165132,-1668406,-521572"
1,197441710062000,0.0044709,1,fixation_before,2,197441709906500,0,0,3,167853.0,-1667508.0,-519750.0,,"167853,-1667508,-519750"
2,197441710364600,0.0047735,1,fixation_before,3,197441710241300,0,0,3,171303.0,-1666095.0,-517454.0,,"171303,-1666095,-517454"
3,197441710646000,0.0050549,1,fixation_before,3,197441710241300,0,0,3,169123.0,-1671428.0,-521658.0,,"169123,-1671428,-521658"
4,197441710926500,0.0053354,1,fixation_before,3,197441710241300,0,0,3,171157.0,-1669838.0,-519783.0,,"171157,-1669838,-519783"
5,197441711200700,0.0056096,1,fixation_before,3,197441710241300,0,0,3,173626.0,-1668541.0,-518107.0,,"173626,-1668541,-518107"
6,197441711473000,0.0058819,1,fixation_before,3,197441710241300,0,0,3,167047.0,-1676976.0,-526053.0,,"167047,-1676976,-526053"
7,197441711742800,0.0061517,1,fixation_before,3,197441710241300,0,0,3,164969.0,-1676999.0,-526812.0,,"164969,-1676999,-526812"
8,197441712014800,0.0064237,1,fixation_before,3,197441710241300,0,0,3,165362.0,-1673172.0,-524228.0,,"165362,-1673172,-524228"
9,197441712290900,0.0066998,1,fixation_before,3,197441710241300,0,0,3,159381.0,-1676636.0,-528628.0,,"159381,-1676636,-528628"
10,197441712598000,0.0070069,1,fixation_before,3,197441710241300,0,0,3,160666.0,-1670098.0,-524033.0,,"160666,-1670098,-524033"
11,197441712894700,0.0073036,1,fixation_before,3,197441710241300,0,0,3,158867.0,-1669127.0,-524522.0,,"158867,-1669127,-524522"
12,197441713171900,0.0075808,1,fixation_before,3,197441710241300,0,0,3,155454.0,-1670761.0,-526774.0,,"155454,-1670761,-526774"
13,197441713444500,0.0078534,1,fixation_before,3,197441710241300,0,0,3,159044.0,-1664529.0,-521091.0,,"159044,-1664529,-521091"
14,197441713716200,0.0081251,1,fixation_before,3,197441710241300,0,0,3,158853.0,-1664810.0,-521449.0,,"158853,-1664810,-521449"
15,197441713987700,0.0083966,1,fixation_before,3,197441710241300,0,0,3,153896.0,-1669701.0,-526366.0,,"153896,-1669701,-526366"
16,197441714259000,0.0086679,1,fixation_before,3,197441710241300,0,0,3,159966.0,-1661787.0,-518897.0,,"159966,-1661787,-518897"
17,197441714530000,0.0089389,1,fixation_before,3,197441710241300,0,0,3,162778.0,-1660725.0,-517312.0,,"162778,-1660725,-517312"
18,197441714801100,0.00921,1,fixation_before,3,197441710241300,0,0,3,163503.0,-1663824.0,-519081.0,,"163503,-1663824,-519081"
19,197441715076400,0.0094853,1,fixation_before,3,197441710241300,0,0,3,167038.0,-1663007.0,-517111.0,,"167038,-1663007,-517111"
20,197441715358200,0.0097671,1,fixation_before,3,197441710241300,0,0,3,165233.0,-1668710.0,-521471.0,,"165233,-1668710,-521471"
21,197441715627000,0.0100359,1,fixation_before,3,197441710241300,0,0,3,167766.0,-1667956.0,-519959.0,,"167766,-1667956,-519959"
22,197441715896900,0.0103058,1,fixation_before,3,197441710241300,0,0,3,171175.0,-1666539.0,-517754.0,,"171175,-1666539,-517754"
23,197441716188400,0.0105973,1,fixation_before,3,197441710241300,0,0,3,169197.0,-1671392.0,-521774.0,,"169197,-1671392,-521774"
24,197441716501400,0.0109103,1,fixation_before,4,197441716187600,0,0,3,171157.0,-1669757.0,-519975.0,,"171157,-1669757,-519975"
25,197441716803100,0.011212,1,fixation_before,4,197441716187600,0,0,3,173748.0,-1668602.0,-518156.0,,"173748,-1668602,-518156"
26,197441717074700,0.0114836,1,fixation_before,4,197441716187600,0,0,3,167118.0,-1677304.0,-526164.0,,"167118,-1677304,-526164"
27,197441717346700,0.0117556,1,fixation_before,4,197441716187600,0,0,3,164871.0,-1677347.0,-526996.0,,"164871,-1677347,-526996"
28,197441717615900,0.0120248,1,fixation_before,4,197441716187600,0,0,3,164976.0,-1673687.0,-524677.0,,"164976,-1673687,-524677"
29,197441717886300,0.0122952,1,fixation_before,4,197441716187600,0,0,3,159075.0,-1677251.0,-529253.0,,"159075,-1677251,-529253"
30,197441718159800,0.0125687,1,fixation_before,4,197441716187600,0,0,3,160403.0,-1670888.0,-524417.0,,"160403,-1670888,-524417"
31,197441718440700,0.0128496,1,fixation_before,4,197441716187600,0,0,3,158852.0,-1669991.0,-524507.0,,"158852,-1669991,-524507"
32,197441718710900,0.0131198,1,fixation_before,4,197441716187600,0,0,3,155561.0,-1671242.0,-526725.0,,"155561,-1671242,-526725"
33,197441718983000,0.0133919,1,fixation_before,4,197441716187600,0,0,3,158789.0,-1664440.0,-521018.0,,"158789,-1664440,-521018"
34,197441719253800,0.0136627,1,fixation_before,4,197441716187600,0,0,3,158574.0,-1664747.0,-521136.0,,"158574,-1664747,-521136"
35,197441719524500,0.0139334,1,fixation_before,4,197441716187600,0,0,3,153996.0,-1669859.0,-525892.0,,"153996,-1669859,-525892"
36,197441719800800,0.0142097,1,fixation_before,4,197441716187600,0,0,3,160521.0,-1661962.0,-518279.0,,"160521,-1661962,-518279"
37,197441720073000,0.0144819,1,fixation_before,4,197441716187600,0,0,3,163361.0,-1660925.0,-516742.0,,"163361,-1660925,-516742"
38,197441720342300,0.0147512,1,fixation_before,4,197441716187600,0,0,3,163904.0,-1663999.0,-518691.0,,"163904,-1663999,-518691"
39,197441720611300,0.0150202,1,fixation_before,4,197441716187600,0,0,3,167708.0,-1662803.0,-516679.0,,"167708,-1662803,-516679"
40,197441720880200,0.0152891,1,fixation_before,4,197441716187600,0,0,3,166079.0,-1668186.0,-521016.0,,"166079,-1668186,-521016"
41,197441721148000,0.0155569,1,fixation_before,4,197441716187600,0,0,3,168451.0,-1667505.0,-519724.0,,"168451,-1667505,-519724"
42,197441721442000,0.0158509,1,fixation_before,4,197441716187600,0,0,3,171958.0,-1665912.0,-517355.0,,"171958,-1665912,-517355"
43,197441721721000,0.0161299,1,fixation_before,4,197441716187600,0,0,3,169803.0,-1671110.0,-521514.0,,"169803,-1671110,-521514"
44,197441721990600,0.0163995,1,fixation_before,4,197441716187600,0,0,3,171471.0,-1669876.0,-519922.0,,"171471,-1669876,-519922"
45,197441722262400,0.0166713,1,fixation_before,4,197441716187600,0,0,3,173954.0,-1668602.0,-518211.0,,"173954,-1668602,-518211"
46,197441722531200,0.0169401,1,fixation_before,4,197441716187600,0,0,3,167271.0,-1677232.0,-526291.0,,"167271,-1677232,-526291"
47,197441722800600,0.0172095,1,fixation_before,4,197441716187600,0,0,3,165304.0,-1677361.0,-526913.0,,"165304,-1677361,-526913"
48,197441723076100,0.017485,1,fixation_before,4,197441716187600,0,0,3,165656.0,-1673495.0,-524221.0,,"165656,-1673495,-524221"
49,197441723346900,0.0177558,1,fixation_before,4,197441716187600,0,0,3,159794.0,-1676857.0,-528687.0,,"159794,-1676857,-528687"
50,197441723615800,0.0180247,1,fixation_before,4,197441716187600,0,0,3,161066.0,-1670514.0,-524029.0,,"161066,-1670514,-524029"
51,197441723885000,0.0182939,1,fixation_before,4,197441716187600,0,0,3,159274.0,-1669622.0,-524303.0,,"159274,-1669622,-524303"
52,197441724155800,0.0185647,1,fixation_before,4,197441716187600,0,0,3,155458.0,-1671169.0,-526759.0,,"155458,-1671169,-526759"
53,197441724423700,0.0188326,1,fixation_before,4,197441716187600,0,0,3,158723.0,-1664523.0,-521168.0,,"158723,-1664523,-521168"
54,197441724692800,0.0191017,1,fixation_before,4,197441716187600,0,0,3,158521.0,-1664613.0,-521506.0,,"158521,-1664613,-521506"
55,197441724972700,0.0193816,1,fixation_before,4,197441716187600,0,0,3,153845.0,-1669484.0,-526440.0,,"153845,-1669484,-526440"
56,197441725242200,0.0196511,1,fixation_before,4,197441716187600,0,0,3,160574.0,-1661154.0,-518532.0,,"160574,-1661154,-518532"
57,197441725510400,0.0199193,1,fixation_before,4,197441716187600,0,0,3,163073.0,-1660334.0,-517224.0,,"163073,-1660334,-517224"
58,197441725780800,0.0201897,1,fixation_before,4,197441716187600,0,0,3,163524.0,-1663181.0,-518979.0,,"163524,-1663181,-518979"
59,197441726053800,0.0204627,1,fixation_before,4,197441716187600,0,0,3,166948.0,-1662487.0,-517162.0,,"166948,-1662487,-517162"
60,197441726322200,0.0207311,1,fixation_before,4,197441716187600,0,0,3,165526.0,-1668020.0,-521218.0,,"165526,-1668020,-521218"
