frame_index,phase_code,phase_name,phase_frame_index,present_time_ns,experiment_time_s,stimulus_active,stimulus_on_mask,stimulus_center_10_0hz_on
0,1,fixation_before,0,197506361331200,0.0010056,0,0,0
1,1,fixation_before,1,197506362951600,0.002626,0,0,0
2,1,fixation_before,2,197506364375800,0.0040502,0,0,0
3,1,fixation_before,3,197506364568200,0.0042426,0,0,0
4,1,fixation_before,4,197506371983400,0.0116578,0,0,0
5,1,fixation_before,5,197506388667600,0.028342,0,0,0
6,1,fixation_before,6,197506405313600,0.044988,0,0,0
7,1,fixation_before,7,197506421942400,0.0616168,0,0,0
8,1,fixation_before,8,197506438559800,0.0782342,0,0,0
9,1,fixation_before,9,197506455230600,0.094905,0,0,0
10,1,fixation_before,10,197506471862800,0.1115372,0,0,0
11,1,fixation_before,11,197506488590700,0.1282651,0,0,0
12,1,fixation_before,12,197506505227300,0.1449017,0,0,0
13,1,fixation_before,13,197506521851200,0.1615256,0,0,0
14,1,fixation_before,14,197506538510100,0.1781845,0,0,0
15,1,fixation_before,15,197506555164900,0.1948393,0,0,0
16,1,fixation_before,16,197506571810200,0.2114846,0,0,0
17,1,fixation_before,17,197506588532600,0.228207,0,0,0
18,1,fixation_before,18,197506605266200,0.2449406,0,0,0
19,1,fixation_before,19,197506621853800,0.2615282,0,0,0
20,1,fixation_before,20,197506638522100,0.2781965,0,0,0
21,1,fixation_before,21,197506655177100,0.2948515,0,0,0
22,1,fixation_before,22,197506671827100,0.3115015,0,0,0
23,1,fixation_before,23,197506688544000,0.3282184,0,0,0
24,1,fixation_before,24,197506705187800,0.3448622,0,0,0
25,1,fixation_before,25,197506721814300,0.3614887,0,0,0
26,1,fixation_before,26,197506738505200,0.3781796,0,0,0
27,1,fixation_before,27,197506755135300,0.3948097,0,0,0
28,1,fixation_before,28,197506771796200,0.4114706,0,0,0
29,1,fixation_before,29,197506788493700,0.4281681,0,0,0
30,1,fixation_before,30,197506805137300,0.4448117,0,0,0
31,1,fixation_before,31,197506821802500,0.4614769,0,0,0
32,1,fixation_before,32,197506838497800,0.4781722,0,0,0
33,1,fixation_before,33,197506855149100,0.4948235,0,0,0
34,1,fixation_before,34,197506871814700,0.5114891,0,0,0
35,1,fixation_before,35,197506888465000,0.5281394,0,0,0
36,1,fixation_before,36,197506905120800,0.5447952,0,0,0
37,1,fixation_before,37,197506921786500,0.5614609,0,0,0
38,1,fixation_before,38,197506938458000,0.5781324,0,0,0
39,1,fixation_before,39,197506955116300,0.5947907,0,0,0
40,1,fixation_before,40,197506971829000,0.6115034,0,0,0
41,1,fixation_before,41,197506988502100,0.6281765,0,0,0
42,1,fixation_before,42,197507005105100,0.6447795,0,0,0
43,1,fixation_before,43,197507021863500,0.6615379,0,0,0
44,1,fixation_before,44,197507038448400,0.6781228,0,0,0
45,1,fixation_before,45,197507055098800,0.6947732,0,0,0
46,1,fixation_before,46,197507071787700,0.7114621,0,0,0
47,1,fixation_before,47,197507088467000,0.7281414,0,0,0
48,1,fixation_before,48,197507105112900,0.7447873,0,0,0
49,1,fixation_before,49,197507121803100,0.7614775,0,0,0
50,1,fixation_before,50,197507138445300,0.7781197,0,0,0
51,1,fixation_before,51,197507155059200,0.7947336,0,0,0
52,1,fixation_before,52,197507171761800,0.8114362,0,0,0
53,1,fixation_before,53,197507188527500,0.8282019,0,0,0
54,1,fixation_before,54,197507205103900,0.8447783,0,0,0
55,1,fixation_before,55,197507221783800,0.8614582,0,0,0
56,1,fixation_before,56,197507238471500,0.8781459,0,0,0
57,1,fixation_before,57,197507255045400,0.8947198,0,0,0
58,1,fixation_before,58,197507271782100,0.9114565,0,0,0
59,1,fixation_before,59,197507288496600,0.928171,0,0,0
60,1,fixation_before,60,197507305042400,0.9447168,0,0,0
61,1,fixation_before,61,197507321721000,0.9613954,0,0,0
62,1,fixation_before,62,197507338354800,0.9780292,0,0,0
63,1,fixation_before,63,197507355040200,0.9947146,0,0,0
64,1,fixation_before,64,197507371712200,1.0113866,0,0,0
65,1,fixation_before,65,197507388384400,1.0280588,0,0,0
66,1,fixation_before,66,197507405069500,1.0447439,0,0,0
67,1,fixation_before,67,197507421844900,1.0615193,0,0,0
68,1,fixation_before,68,197507438413100,1.0780875,0,0,0
69,1,fixation_before,69,197507455067400,1.0947418,0,0,0
70,1,fixation_before,70,197507471744400,1.1114188,0,0,0
71,1,fixation_before,71,197507488421300,1.1280957,0,0,0
72,1,fixation_before,72,197507505037900,1.1447123,0,0,0
73,1,fixation_before,73,197507521695700,1.1613701,0,0,0
74,1,fixation_before,74,197507538384600,1.178059,0,0,0
75,1,fixation_before,75,197507555110000,1.1947844,0,0,0
