phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,17623,17.1135175,179099.0
fixation_after,ch1,max,2,17603,17.0935259,178304.0
fixation_after,ch1,min,1,17613,17.1035173,150254.0
fixation_after,ch1,min,2,21232,20.7226011,151831.0
fixation_after,ch2,max,1,17614,17.104514,-1676621.0
fixation_after,ch2,max,2,18355,17.8455238,-1676951.0
fixation_after,ch2,min,1,17624,17.1145242,-1703212.0
fixation_after,ch2,min,2,23983,23.4736807,-1701065.0
fixation_after,ch3,max,1,19095,18.5855489,-557175.0
fixation_after,ch3,max,2,18615,18.1055489,-557258.0
fixation_after,ch3,min,1,25285,24.7757386,-574953.0
fixation_after,ch3,min,2,25345,24.8357049,-574872.0
fixation_before,ch1,max,1,1066,0.5560845,179096.0
fixation_before,ch1,max,2,786,0.2760889,179053.0
fixation_before,ch1,min,1,1116,0.6060879,152628.0
fixation_before,ch1,min,2,1096,0.5860263,152651.0
fixation_before,ch2,max,1,2638,2.1281334,-1675912.0
fixation_before,ch2,max,2,2718,2.2081355,-1676068.0
fixation_before,ch2,min,1,10045,9.5353093,-1699927.0
fixation_before,ch2,min,2,10425,9.9153351,-1699669.0
fixation_before,ch3,max,1,39,0.0209685,-556018.0
fixation_before,ch3,max,2,59,0.0262742,-556187.0
fixation_before,ch3,min,1,10285,9.775331,-572545.0
fixation_before,ch3,min,2,5389,4.8791869,-572516.0
stimulus,ch1,max,1,10864,10.3543368,177765.0
stimulus,ch1,max,2,10944,10.4343641,177679.0
stimulus,ch1,min,1,15373,14.8634423,152658.0
stimulus,ch1,min,2,11514,11.0043628,152876.0
stimulus,ch2,max,1,12435,11.9254341,-1677427.0
stimulus,ch2,max,2,12755,12.2454055,-1677757.0
stimulus,ch2,min,1,11605,11.0953621,-1700587.0
stimulus,ch2,min,2,11165,10.6553673,-1700571.0
stimulus,ch3,max,1,13656,13.1464121,-558154.0
stimulus,ch3,max,2,13138,12.628391,-558232.0
stimulus,ch3,min,1,12208,11.6983917,-573885.0
stimulus,ch3,min,2,11808,11.2983641,-573876.0
