frame_index,phase_code,phase_name,phase_frame_index,present_time_ns,experiment_time_s,stimulus_active,stimulus_on_mask,stimulus_center_10_0hz_on
0,1,fixation_before,0,197769114791500,0.0010145,0,0,0
1,1,fixation_before,1,197769116645400,0.0028684,0,0,0
2,1,fixation_before,2,197769117855000,0.004078,0,0,0
3,1,fixation_before,3,197769118083100,0.0043061,0,0,0
4,1,fixation_before,4,197769127875600,0.0140986,0,0,0
5,1,fixation_before,5,197769144602400,0.0308254,0,0,0
6,1,fixation_before,6,197769161229700,0.0474527,0,0,0
7,1,fixation_before,7,197769177889800,0.0641128,0,0,0
8,1,fixation_before,8,197769194461800,0.0806848,0,0,0
9,1,fixation_before,9,197769211152500,0.0973755,0,0,0
10,1,fixation_before,10,197769227772200,0.1139952,0,0,0
11,1,fixation_before,11,197769244453600,0.1306766,0,0,0
12,1,fixation_before,12,197769261083900,0.1473069,0,0,0
13,1,fixation_before,13,197769277842000,0.164065,0,0,0
14,1,fixation_before,14,197769294415500,0.1806385,0,0,0
15,1,fixation_before,15,197769311114700,0.1973377,0,0,0
16,1,fixation_before,16,197769327845500,0.2140685,0,0,0
17,1,fixation_before,17,197769344480300,0.2307033,0,0,0
18,1,fixation_before,18,197769361107300,0.2473303,0,0,0
19,1,fixation_before,19,197769377774900,0.2639979,0,0,0
20,1,fixation_before,20,197769394475300,0.2806983,0,0,0
21,1,fixation_before,21,197769411113900,0.2973369,0,0,0
22,1,fixation_before,22,197769427732700,0.3139557,0,0,0
23,1,fixation_before,23,197769444406400,0.3306294,0,0,0
24,1,fixation_before,24,197769461136700,0.3473597,0,0,0
25,1,fixation_before,25,197769477735500,0.3639585,0,0,0
26,1,fixation_before,26,197769494374500,0.3805975,0,0,0
27,1,fixation_before,27,197769511145800,0.3973688,0,0,0
28,1,fixation_before,28,197769527759800,0.4139828,0,0,0
29,1,fixation_before,29,197769544503000,0.430726,0,0,0
30,1,fixation_before,30,197769561095700,0.4473187,0,0,0
31,1,fixation_before,31,197769577718000,0.463941,0,0,0
32,1,fixation_before,32,197769594413900,0.4806369,0,0,0
33,1,fixation_before,33,197769611146900,0.4973699,0,0,0
34,1,fixation_before,34,197769627760600,0.5139836,0,0,0
35,1,fixation_before,35,197769644418600,0.5306416,0,0,0
36,1,fixation_before,36,197769661098500,0.5473215,0,0,0
37,1,fixation_before,37,197769677678900,0.5639019,0,0,0
38,1,fixation_before,38,197769694413100,0.5806361,0,0,0
39,1,fixation_before,39,197769711048000,0.597271,0,0,0
40,1,fixation_before,40,197769727662700,0.6138857,0,0,0
41,1,fixation_before,41,197769744336500,0.6305595,0,0,0
42,1,fixation_before,42,197769761053000,0.647276,0,0,0
43,1,fixation_before,43,197769777688600,0.6639116,0,0,0
44,1,fixation_before,44,197769794341200,0.6805642,0,0,0
45,1,fixation_before,45,197769811110500,0.6973335,0,0,0
46,1,fixation_before,46,197769827695500,0.7139185,0,0,0
47,1,fixation_before,47,197769844439200,0.7306622,0,0,0
48,1,fixation_before,48,197769861020900,0.7472439,0,0,0
49,1,fixation_before,49,197769877696700,0.7639197,0,0,0
50,1,fixation_before,50,197769894312600,0.7805356,0,0,0
51,1,fixation_before,51,197769911032200,0.7972552,0,0,0
52,1,fixation_before,52,197769927680700,0.8139037,0,0,0
53,1,fixation_before,53,197769944417400,0.8306404,0,0,0
54,1,fixation_before,54,197769961017800,0.8472408,0,0,0
55,1,fixation_before,55,197769977719000,0.863942,0,0,0
56,1,fixation_before,56,197769994335000,0.880558,0,0,0
57,1,fixation_before,57,197770010965200,0.8971882,0,0,0
58,1,fixation_before,58,197770027638200,0.9138612,0,0,0
59,1,fixation_before,59,197770044275700,0.9304987,0,0,0
60,1,fixation_before,60,197770060957400,0.9471804,0,0,0
61,1,fixation_before,61,197770077652800,0.9638758,0,0,0
62,1,fixation_before,62,197770094291500,0.9805145,0,0,0
63,1,fixation_before,63,197770111005900,0.9972289,0,0,0
64,1,fixation_before,64,197770127645200,1.0138682,0,0,0
65,1,fixation_before,65,197770144350900,1.0305739,0,0,0
66,1,fixation_before,66,197770160986000,1.047209,0,0,0
67,1,fixation_before,67,197770177746900,1.0639699,0,0,0
68,1,fixation_before,68,197770194334100,1.0805571,0,0,0
69,1,fixation_before,69,197770211135800,1.0973588,0,0,0
70,1,fixation_before,70,197770227687500,1.1139105,0,0,0
71,1,fixation_before,71,197770244282600,1.1305056,0,0,0
72,1,fixation_before,72,197770261043900,1.1472669,0,0,0
73,1,fixation_before,73,197770277780600,1.1640036,0,0,0
74,1,fixation_before,74,197770294298400,1.1805214,0,0,0
75,1,fixation_before,75,197770310898100,1.1971211,0,0,0
76,1,fixation_before,76,197770327601300,1.2138243,0,0,0
77,1,fixation_before,77,197770344252200,1.2304752,0,0,0
78,1,fixation_before,78,197770360980700,1.2472037,0,0,0
79,1,fixation_before,79,197770377576300,1.2637993,0,0,0
80,1,fixation_before,80,197770394237800,1.2804608,0,0,0
81,1,fixation_before,81,197770410913500,1.2971365,0,0,0
82,1,fixation_before,82,197770427578800,1.3138018,0,0,0
83,1,fixation_before,83,197770444234500,1.3304575,0,0,0
84,1,fixation_before,84,197770460959800,1.3471828,0,0,0
85,1,fixation_before,85,197770477572300,1.3637953,0,0,0
86,1,fixation_before,86,197770494219400,1.3804424,0,0,0
87,1,fixation_before,87,197770510933200,1.3971562,0,0,0
88,1,fixation_before,88,197770527574500,1.4137975,0,0,0
89,1,fixation_before,89,197770544250100,1.4304731,0,0,0
90,1,fixation_before,90,197770560898800,1.4471218,0,0,0
91,1,fixation_before,91,197770577560600,1.4637836,0,0,0
92,1,fixation_before,92,197770594307600,1.4805306,0,0,0
93,1,fixation_before,93,197770610953000,1.497176,0,0,0
94,1,fixation_before,94,197770627599900,1.5138229,0,0,0
95,1,fixation_before,95,197770644231800,1.5304548,0,0,0
96,1,fixation_before,96,197770660898900,1.5471219,0,0,0
97,1,fixation_before,97,197770677556300,1.5637793,0,0,0
98,1,fixation_before,98,197770694258900,1.5804819,0,0,0
99,1,fixation_before,99,197770710844500,1.5970675,0,0,0
100,1,fixation_before,100,197770727517700,1.6137407,0,0,0
101,1,fixation_before,101,197770744179200,1.6304022,0,0,0
102,1,fixation_before,102,197770760861700,1.6470847,0,0,0
103,1,fixation_before,103,197770777498900,1.6637219,0,0,0
104,1,fixation_before,104,197770794177700,1.6804007,0,0,0
105,1,fixation_before,105,197770810857400,1.6970804,0,0,0
106,1,fixation_before,106,197770827524200,1.7137472,0,0,0
107,1,fixation_before,107,197770844293600,1.7305166,0,0,0
108,1,fixation_before,108,197770860850400,1.7470734,0,0,0
109,1,fixation_before,109,197770877513100,1.7637361,0,0,0
110,1,fixation_before,110,197770894213700,1.7804367,0,0,0
111,1,fixation_before,111,197770910849800,1.7970728,0,0,0
112,1,fixation_before,112,197770927555800,1.8137788,0,0,0
113,1,fixation_before,113,197770944191000,1.830414,0,0,0
114,1,fixation_before,114,197770960843000,1.847066,0,0,0
115,1,fixation_before,115,197770977528700,1.8637517,0,0,0
116,1,fixation_before,116,197770994237300,1.8804603,0,0,0
117,1,fixation_before,117,197771010798900,1.8970219,0,0,0
118,1,fixation_before,118,197771027467100,1.9136901,0,0,0
119,1,fixation_before,119,197771044159200,1.9303822,0,0,0
120,1,fixation_before,120,197771060785300,1.9470083,0,0,0
121,1,fixation_before,121,197771077447800,1.9636708,0,0,0
122,1,fixation_before,122,197771094156700,1.9803797,0,0,0
123,1,fixation_before,123,197771110805100,1.9970281,0,0,0
124,1,fixation_before,124,197771127472800,2.0136958,0,0,0
125,1,fixation_before,125,197771144188200,2.0304112,0,0,0
126,1,fixation_before,126,197771160850800,2.0470738,0,0,0
127,1,fixation_before,127,197771177473900,2.0636969,0,0,0
128,1,fixation_before,128,197771194142200,2.0803652,0,0,0
129,1,fixation_before,129,197771210793600,2.0970166,0,0,0
130,1,fixation_before,130,197771227483200,2.1137062,0,0,0
131,1,fixation_before,131,197771244272400,2.1304954,0,0,0
132,1,fixation_before,132,197771260789200,2.1470122,0,0,0
133,1,fixation_before,133,197771277517400,2.1637404,0,0,0
134,1,fixation_before,134,197771294169300,2.1803923,0,0,0
135,1,fixation_before,135,197771310742000,2.196965,0,0,0
136,1,fixation_before,136,197771327445600,2.2136686,0,0,0
137,1,fixation_before,137,197771344121600,2.2303446,0,0,0
138,1,fixation_before,138,197771360744200,2.2469672,0,0,0
139,1,fixation_before,139,197771377407100,2.2636301,0,0,0
140,1,fixation_before,140,197771394067700,2.2802907,0,0,0
141,1,fixation_before,141,197771410784400,2.2970074,0,0,0
142,1,fixation_before,142,197771427518600,2.3137416,0,0,0
143,1,fixation_before,143,197771444136600,2.3303596,0,0,0
144,1,fixation_before,144,197771460747500,2.3469705,0,0,0
145,1,fixation_before,145,197771477463500,2.3636865,0,0,0
146,1,fixation_before,146,197771494071800,2.3802948,0,0,0
147,1,fixation_before,147,197771510742800,2.3969658,0,0,0
148,1,fixation_before,148,197771527427000,2.41365,0,0,0
149,1,fixation_before,149,197771544063100,2.4302861,0,0,0
150,1,fixation_before,150,197771560755800,2.4469788,0,0,0
151,1,fixation_before,151,197771577413100,2.4636361,0,0,0
152,1,fixation_before,152,197771594075600,2.4802986,0,0,0
153,1,fixation_before,153,197771610784100,2.4970071,0,0,0
154,1,fixation_before,154,197771627380100,2.5136031,0,0,0
155,1,fixation_before,155,197771644114600,2.5303376,0,0,0
156,1,fixation_before,156,197771660717000,2.54694,0,0,0
157,1,fixation_before,157,197771677404200,2.5636272,0,0,0
158,1,fixation_before,158,197771694103000,2.580326,0,0,0
159,1,fixation_before,159,197771710700100,2.5969231,0,0,0
160,1,fixation_before,160,197771727390900,2.6136139,0,0,0
161,1,fixation_before,161,197771744072600,2.6302956,0,0,0
162,1,fixation_before,162,197771760690100,2.6469131,0,0,0
163,1,fixation_before,163,197771777379900,2.6636029,0,0,0
164,1,fixation_before,164,197771794011100,2.6802341,0,0,0
165,1,fixation_before,165,197771810817000,2.69704,0,0,0
166,1,fixation_before,166,197771827358200,2.7135812,0,0,0
167,1,fixation_before,167,197771844107800,2.7303308,0,0,0
168,1,fixation_before,168,197771860672200,2.7468952,0,0,0
169,1,fixation_before,169,197771877469400,2.7636924,0,0,0
170,1,fixation_before,170,197771893995300,2.7802183,0,0,0
171,1,fixation_before,171,197771910665400,2.7968884,0,0,0
172,1,fixation_before,172,197771927342900,2.8135659,0,0,0
173,1,fixation_before,173,197771944004500,2.8302275,0,0,0
174,1,fixation_before,174,197771960662700,2.8468857,0,0,0
175,1,fixation_before,175,197771977362700,2.8635857,0,0,0
176,1,fixation_before,176,197771993998000,2.880221,0,0,0
177,1,fixation_before,177,197772010654900,2.8968779,0,0,0
178,1,fixation_before,178,197772027314400,2.9135374,0,0,0
179,1,fixation_before,179,197772043978500,2.9302015,0,0,0
180,1,fixation_before,180,197772060671500,2.9468945,0,0,0
181,1,fixation_before,181,197772077330400,2.9635534,0,0,0
182,1,fixation_before,182,197772093973800,2.9801968,0,0,0
183,1,fixation_before,183,197772110660400,2.9968834,0,0,0
184,1,fixation_before,184,197772127392800,3.0136158,0,0,0
185,1,fixation_before,185,197772143956900,3.0301799,0,0,0
186,1,fixation_before,186,197772160673100,3.0468961,0,0,0
187,1,fixation_before,187,197772177306900,3.0635299,0,0,0
188,1,fixation_before,188,197772193951000,3.080174,0,0,0
189,1,fixation_before,189,197772210619900,3.0968429,0,0,0
190,1,fixation_before,190,197772227319500,3.1135425,0,0,0
191,1,fixation_before,191,197772243979200,3.1302022,0,0,0
192,1,fixation_before,192,197772260601100,3.1468241,0,0,0
193,1,fixation_before,193,197772277302800,3.1635258,0,0,0
194,1,fixation_before,194,197772293935800,3.1801588,0,0,0
195,1,fixation_before,195,197772310995000,3.197218,0,0,0
196,1,fixation_before,196,197772327245500,3.2134685,0,0,0
197,1,fixation_before,197,197772343897800,3.2301208,0,0,0
198,1,fixation_before,198,197772360569500,3.2467925,0,0,0
199,1,fixation_before,199,197772377229600,3.2634526,0,0,0
200,1,fixation_before,200,197772393944600,3.2801676,0,0,0
201,1,fixation_before,201,197772410583200,3.2968062,0,0,0
202,1,fixation_before,202,197772427250600,3.3134736,0,0,0
203,1,fixation_before,203,197772443923300,3.3301463,0,0,0
204,1,fixation_before,204,197772460582600,3.3468056,0,0,0
205,1,fixation_before,205,197772477269600,3.3634926,0,0,0
206,1,fixation_before,206,197772493904700,3.3801277,0,0,0
207,1,fixation_before,207,197772510585800,3.3968088,0,0,0
208,1,fixation_before,208,197772527238000,3.413461,0,0,0
209,1,fixation_before,209,197772543886500,3.4301095,0,0,0
210,1,fixation_before,210,197772560590000,3.446813,0,0,0
211,1,fixation_before,211,197772577269000,3.463492,0,0,0
212,1,fixation_before,212,197772593886000,3.480109,0,0,0
213,1,fixation_before,213,197772610578300,3.4968013,0,0,0
214,1,fixation_before,214,197772627239700,3.5134627,0,0,0
215,1,fixation_before,215,197772643933900,3.5301569,0,0,0
216,1,fixation_before,216,197772660566100,3.5467891,0,0,0
217,1,fixation_before,217,197772677255700,3.5634787,0,0,0
218,1,fixation_before,218,197772693874100,3.5800971,0,0,0
219,1,fixation_before,219,197772710544300,3.5967673,0,0,0
220,1,fixation_before,220,197772727235500,3.6134585,0,0,0
221,1,fixation_before,221,197772743857000,3.63008,0,0,0
222,1,fixation_before,222,197772760549400,3.6467724,0,0,0
223,1,fixation_before,223,197772777234000,3.663457,0,0,0
224,1,fixation_before,224,197772793844900,3.6800679,0,0,0
225,1,fixation_before,225,197772810551300,3.6967743,0,0,0
226,1,fixation_before,226,197772827219400,3.7134424,0,0,0
227,1,fixation_before,227,197772843857400,3.7300804,0,0,0
228,1,fixation_before,228,197772860535100,3.7467581,0,0,0
229,1,fixation_before,229,197772877196300,3.7634193,0,0,0
230,1,fixation_before,230,197772893896300,3.7801193,0,0,0
231,1,fixation_before,231,197772910506400,3.7967294,0,0,0
232,1,fixation_before,232,197772927214100,3.8134371,0,0,0
233,1,fixation_before,233,197772943830600,3.8300536,0,0,0
234,1,fixation_before,234,197772960542400,3.8467654,0,0,0
235,1,fixation_before,235,197772977219400,3.8634424,0,0,0
236,1,fixation_before,236,197772993814800,3.8800378,0,0,0
237,1,fixation_before,237,197773010510900,3.8967339,0,0,0
238,1,fixation_before,238,197773027258900,3.9134819,0,0,0
239,1,fixation_before,239,197773043815900,3.9300389,0,0,0
240,1,fixation_before,240,197773060516000,3.946739,0,0,0
241,1,fixation_before,241,197773077187600,3.9634106,0,0,0
242,1,fixation_before,242,197773093835600,3.9800586,0,0,0
243,1,fixation_before,243,197773110500500,3.9967235,0,0,0
244,1,fixation_before,244,197773127190700,4.0134137,0,0,0
245,1,fixation_before,245,197773143888200,4.0301112,0,0,0
246,1,fixation_before,246,197773160493300,4.0467163,0,0,0
247,1,fixation_before,247,197773177165300,4.0633883,0,0,0
248,1,fixation_before,248,197773193815600,4.0800386,0,0,0
249,1,fixation_before,249,197773210509300,4.0967323,0,0,0
250,1,fixation_before,250,197773227114300,4.1133373,0,0,0
251,1,fixation_before,251,197773243756100,4.1299791,0,0,0
252,1,fixation_before,252,197773260466600,4.1466896,0,0,0
253,1,fixation_before,253,197773277161500,4.1633845,0,0,0
254,1,fixation_before,254,197773293788600,4.1800116,0,0,0
255,1,fixation_before,255,197773310491700,4.1967147,0,0,0
256,1,fixation_before,256,197773327133500,4.2133565,0,0,0
257,1,fixation_before,257,197773343755200,4.2299782,0,0,0
258,1,fixation_before,258,197773360453700,4.2466767,0,0,0
259,1,fixation_before,259,197773377124700,4.2633477,0,0,0
260,1,fixation_before,260,197773393751500,4.2799745,0,0,0
261,1,fixation_before,261,197773410534100,4.2967571,0,0,0
262,1,fixation_before,262,197773427085700,4.3133087,0,0,0
263,1,fixation_before,263,197773443754900,4.3299779,0,0,0
264,1,fixation_before,264,197773460429000,4.346652,0,0,0
265,1,fixation_before,265,197773477071600,4.3632946,0,0,0
266,1,fixation_before,266,197773493754400,4.3799774,0,0,0
267,1,fixation_before,267,197773510429100,4.3966521,0,0,0
268,1,fixation_before,268,197773527068600,4.4132916,0,0,0
269,1,fixation_before,269,197773543733000,4.429956,0,0,0
270,1,fixation_before,270,197773560414600,4.4466376,0,0,0
271,1,fixation_before,271,197773577061300,4.4632843,0,0,0
272,1,fixation_before,272,197773593729400,4.4799524,0,0,0
273,1,fixation_before,273,197773610383500,4.4966065,0,0,0
274,1,fixation_before,274,197773627049100,4.5132721,0,0,0
275,1,fixation_before,275,197773643722500,4.5299455,0,0,0
276,1,fixation_before,276,197773660524500,4.5467475,0,0,0
277,1,fixation_before,277,197773677038400,4.5632614,0,0,0
278,1,fixation_before,278,197773693699200,4.5799222,0,0,0
279,1,fixation_before,279,197773710343900,4.5965669,0,0,0
280,1,fixation_before,280,197773727129400,4.6133524,0,0,0
281,1,fixation_before,281,197773743697500,4.6299205,0,0,0
282,1,fixation_before,282,197773760387000,4.64661,0,0,0
283,1,fixation_before,283,197773777023900,4.6632469,0,0,0
284,1,fixation_before,284,197773793693900,4.6799169,0,0,0
285,1,fixation_before,285,197773810372400,4.6965954,0,0,0
286,1,fixation_before,286,197773827013100,4.7132361,0,0,0
287,1,fixation_before,287,197773843722900,4.7299459,0,0,0
288,1,fixation_before,288,197773860368000,4.746591,0,0,0
289,1,fixation_before,289,197773876992600,4.7632156,0,0,0
290,1,fixation_before,290,197773893688000,4.779911,0,0,0
291,1,fixation_before,291,197773910435700,4.7966587,0,0,0
292,1,fixation_before,292,197773926990700,4.8132137,0,0,0
293,1,fixation_before,293,197773943680000,4.829903,0,0,0
294,1,fixation_before,294,197773960357900,4.8465809,0,0,0
295,1,fixation_before,295,197773976991600,4.8632146,0,0,0
296,1,fixation_before,296,197773993659500,4.8798825,0,0,0
297,1,fixation_before,297,197774010340300,4.8965633,0,0,0
298,1,fixation_before,298,197774026979900,4.9132029,0,0,0
299,1,fixation_before,299,197774043642100,4.9298651,0,0,0
300,1,fixation_before,300,197774060303200,4.9465262,0,0,0
301,1,fixation_before,301,197774077006300,4.9632293,0,0,0
302,1,fixation_before,302,197774093656000,4.979879,0,0,0
303,1,fixation_before,303,197774110306200,4.9965292,0,0,0
304,1,fixation_before,304,197774126996900,5.0132199,0,0,0
305,1,fixation_before,305,197774143649700,5.0298727,0,0,0
306,1,fixation_before,306,197774160291600,5.0465146,0,0,0
307,1,fixation_before,307,197774176992100,5.0632151,0,0,0
308,1,fixation_before,308,197774193624300,5.0798473,0,0,0
309,1,fixation_before,309,197774210280700,5.0965037,0,0,0
310,1,fixation_before,310,197774226960000,5.113183,0,0,0
311,1,fixation_before,311,197774243638900,5.1298619,0,0,0
312,1,fixation_before,312,197774260288100,5.1465111,0,0,0
313,1,fixation_before,313,197774276935200,5.1631582,0,0,0
314,1,fixation_before,314,197774293646000,5.179869,0,0,0
315,1,fixation_before,315,197774310347200,5.1965702,0,0,0
316,1,fixation_before,316,197774326930200,5.2131532,0,0,0
317,1,fixation_before,317,197774343630100,5.2298531,0,0,0
318,1,fixation_before,318,197774360288500,5.2465115,0,0,0
319,1,fixation_before,319,197774376925600,5.2631486,0,0,0
320,1,fixation_before,320,197774393611200,5.2798342,0,0,0
321,1,fixation_before,321,197774410285400,5.2965084,0,0,0
322,1,fixation_before,322,197774426968400,5.3131914,0,0,0
323,1,fixation_before,323,197774443573300,5.3297963,0,0,0
324,1,fixation_before,324,197774460289000,5.346512,0,0,0
325,1,fixation_before,325,197774476895300,5.3631183,0,0,0
326,1,fixation_before,326,197774493567900,5.3797909,0,0,0
327,1,fixation_before,327,197774510214600,5.3964376,0,0,0
328,1,fixation_before,328,197774526863200,5.4130862,0,0,0
329,1,fixation_before,329,197774543524300,5.4297473,0,0,0
330,1,fixation_before,330,197774560223000,5.446446,0,0,0
331,1,fixation_before,331,197774576869800,5.4630928,0,0,0
332,1,fixation_before,332,197774593514200,5.4797372,0,0,0
333,1,fixation_before,333,197774610273100,5.4964961,0,0,0
334,1,fixation_before,334,197774626881100,5.5131041,0,0,0
335,1,fixation_before,335,197774643586400,5.5298094,0,0,0
336,1,fixation_before,336,197774660231500,5.5464545,0,0,0
337,1,fixation_before,337,197774676863200,5.5630862,0,0,0
338,1,fixation_before,338,197774693640700,5.5798637,0,0,0
339,1,fixation_before,339,197774710238900,5.5964619,0,0,0
340,1,fixation_before,340,197774726863400,5.6130864,0,0,0
341,1,fixation_before,341,197774743567800,5.6297908,0,0,0
342,1,fixation_before,342,197774760218700,5.6464417,0,0,0
343,1,fixation_before,343,197774776852300,5.6630753,0,0,0
344,1,fixation_before,344,197774793500800,5.6797238,0,0,0
345,1,fixation_before,345,197774810171800,5.6963948,0,0,0
346,1,fixation_before,346,197774826835200,5.7130582,0,0,0
347,1,fixation_before,347,197774843500900,5.7297239,0,0,0
348,1,fixation_before,348,197774860143400,5.7463664,0,0,0
