phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,18189,17.6876416,174018.0
fixation_after,ch1,max,2,18049,17.5476504,174011.0
fixation_after,ch1,min,1,24095,23.5938444,148862.0
fixation_after,ch1,min,2,23515,23.0137732,149035.0
fixation_after,ch2,max,1,16622,16.1206146,-1698416.0
fixation_after,ch2,max,2,15583,15.0816009,-1698525.0
fixation_after,ch2,min,1,23227,22.7257748,-1718950.0
fixation_after,ch2,min,2,23307,22.8057726,-1718852.0
fixation_after,ch3,max,1,15591,15.0895924,-601331.0
fixation_after,ch3,max,2,15491,14.9895649,-601362.0
fixation_after,ch3,min,1,25374,24.8728269,-616134.0
fixation_after,ch3,min,2,25394,24.8928282,-616051.0
fixation_before,ch1,max,1,424,0.1272093,177565.0
fixation_before,ch1,max,2,204,0.0667523,176012.0
fixation_before,ch1,min,1,5210,4.7083145,148144.0
fixation_before,ch1,min,2,5290,4.7883365,148600.0
fixation_before,ch2,max,1,4972,4.4703048,-1694339.0
fixation_before,ch2,max,2,5092,4.5903054,-1694350.0
fixation_before,ch2,min,1,425,0.1274822,-1717975.0
fixation_before,ch2,min,2,705,0.2043156,-1716929.0
fixation_before,ch3,max,1,5200,4.6982999,-592900.0
fixation_before,ch3,max,2,5280,4.7783313,-593442.0
fixation_before,ch3,min,1,434,0.1299503,-612392.0
fixation_before,ch3,min,2,2592,2.0902557,-610453.0
stimulus,ch1,max,1,11874,11.3724782,174361.0
stimulus,ch1,max,2,11974,11.4724867,174221.0
stimulus,ch1,min,1,14542,14.0405393,149662.0
stimulus,ch1,min,2,14642,14.1404986,149721.0
stimulus,ch2,max,1,13784,13.2825546,-1695811.0
stimulus,ch2,max,2,13904,13.4025474,-1695828.0
stimulus,ch2,min,1,12655,12.1535159,-1717252.0
stimulus,ch2,min,2,12555,12.0535376,-1717192.0
stimulus,ch3,max,1,10895,10.393457,-599520.0
stimulus,ch3,max,2,10675,10.1734557,-599552.0
stimulus,ch3,min,1,14442,13.94054,-611770.0
stimulus,ch3,min,2,14322,13.8204988,-611662.0
