sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,198044313239200,0.0106808,1,fixation_before,3,198044307121600,0,0,3,159590.0,-1711885.0,-621136.0,,"159590,-1711885,-621136"
1,198044313550200,0.0109918,1,fixation_before,3,198044307121600,0,0,3,163863.0,-1709452.0,-618329.0,,"163863,-1709452,-618329"
2,198044313835700,0.0112773,1,fixation_before,3,198044307121600,0,0,3,162719.0,-1715287.0,-623451.0,,"162719,-1715287,-623451"
3,198044314117500,0.0115591,1,fixation_before,3,198044307121600,0,0,3,168875.0,-1712872.0,-619024.0,,"168875,-1712872,-619024"
4,198044314396000,0.0118376,1,fixation_before,3,198044307121600,0,0,3,165886.0,-1720642.0,-624222.0,,"165886,-1720642,-624222"
5,198044314675400,0.012117,1,fixation_before,3,198044307121600,0,0,3,170751.0,-1717105.0,-619651.0,,"170751,-1717105,-619651"
6,198044314960200,0.0124018,1,fixation_before,3,198044307121600,0,0,3,173060.0,-1717329.0,-618576.0,,"173060,-1717329,-618576"
7,198044315237800,0.0126794,1,fixation_before,3,198044307121600,0,0,3,170604.0,-1722564.0,-622441.0,,"170604,-1722564,-622441"
8,198044315514800,0.0129564,1,fixation_before,4,198044315119100,0,0,3,174741.0,-1718374.0,-618161.0,,"174741,-1718374,-618161"
9,198044315793900,0.0132355,1,fixation_before,4,198044315119100,0,0,3,173661.0,-1721537.0,-621086.0,,"173661,-1721537,-621086"
10,198044316072000,0.0135136,1,fixation_before,4,198044315119100,0,0,3,168094.0,-1727064.0,-626522.0,,"168094,-1727064,-626522"
11,198044316347400,0.013789,1,fixation_before,4,198044315119100,0,0,3,164681.0,-1727921.0,-628593.0,,"164681,-1727921,-628593"
12,198044316630800,0.0140724,1,fixation_before,4,198044315119100,0,0,3,165499.0,-1722280.0,-625156.0,,"165499,-1722280,-625156"
13,198044316905800,0.0143474,1,fixation_before,4,198044315119100,0,0,3,157319.0,-1727688.0,-631801.0,,"157319,-1727688,-631801"
14,198044317181800,0.0146234,1,fixation_before,4,198044315119100,0,0,3,161244.0,-1718341.0,-624187.0,,"161244,-1718341,-624187"
15,198044317459200,0.0149008,1,fixation_before,4,198044315119100,0,0,3,156755.0,-1720541.0,-627568.0,,"156755,-1720541,-627568"
16,198044317736400,0.015178,1,fixation_before,4,198044315119100,0,0,3,154891.0,-1719913.0,-627921.0,,"154891,-1719913,-627921"
17,198044318015700,0.0154573,1,fixation_before,4,198044315119100,0,0,3,159686.0,-1712446.0,-621244.0,,"159686,-1712446,-621244"
18,198044318289900,0.0157315,1,fixation_before,4,198044315119100,0,0,3,156054.0,-1717716.0,-625891.0,,"156054,-1717716,-625891"
19,198044318631800,0.0160734,1,fixation_before,4,198044315119100,0,0,3,155495.0,-1717154.0,-625734.0,,"155495,-1717154,-625734"
20,198044318918400,0.01636,1,fixation_before,4,198044315119100,0,0,3,161098.0,-1711324.0,-620556.0,,"161098,-1711324,-620556"
21,198044319188000,0.0166296,1,fixation_before,4,198044315119100,0,0,3,165437.0,-1709089.0,-617847.0,,"165437,-1709089,-617847"
22,198044319457000,0.0168986,1,fixation_before,4,198044315119100,0,0,3,163854.0,-1715495.0,-622364.0,,"163854,-1715495,-622364"
23,198044319725000,0.0171666,1,fixation_before,4,198044315119100,0,0,3,169858.0,-1712731.0,-617965.0,,"169858,-1712731,-617965"
24,198044320005700,0.0174473,1,fixation_before,4,198044315119100,0,0,3,166718.0,-1720566.0,-623704.0,,"166718,-1720566,-623704"
25,198044320273800,0.0177154,1,fixation_before,4,198044315119100,0,0,3,171267.0,-1717551.0,-619622.0,,"171267,-1717551,-619622"
26,198044320541700,0.0179833,1,fixation_before,4,198044315119100,0,0,3,172805.0,-1717747.0,-618995.0,,"172805,-1717747,-618995"
27,198044320806900,0.0182485,1,fixation_before,4,198044315119100,0,0,3,170436.0,-1722664.0,-622844.0,,"170436,-1722664,-622844"
28,198044321072800,0.0185144,1,fixation_before,4,198044315119100,0,0,3,175224.0,-1718335.0,-618312.0,,"175224,-1718335,-618312"
29,198044321345500,0.0187871,1,fixation_before,4,198044315119100,0,0,3,173873.0,-1721889.0,-621675.0,,"173873,-1721889,-621675"
30,198044321609600,0.0190512,1,fixation_before,4,198044315119100,0,0,3,168064.0,-1727025.0,-626911.0,,"168064,-1727025,-626911"
31,198044321874600,0.0193162,1,fixation_before,4,198044315119100,0,0,3,164673.0,-1727942.0,-628511.0,,"164673,-1727942,-628511"
32,198044322139400,0.019581,1,fixation_before,4,198044315119100,0,0,3,166311.0,-1722360.0,-624264.0,,"166311,-1722360,-624264"
33,198044322405500,0.0198471,1,fixation_before,4,198044315119100,0,0,3,158125.0,-1727797.0,-630877.0,,"158125,-1727797,-630877"
34,198044322670300,0.0201119,1,fixation_before,4,198044315119100,0,0,3,161803.0,-1718516.0,-623472.0,,"161803,-1718516,-623472"
35,198044322935100,0.0203767,1,fixation_before,4,198044315119100,0,0,3,157408.0,-1720861.0,-626737.0,,"157408,-1720861,-626737"
36,198044323199900,0.0206415,1,fixation_before,4,198044315119100,0,0,3,155155.0,-1720123.0,-627396.0,,"155155,-1720123,-627396"
37,198044323464400,0.020906,1,fixation_before,4,198044315119100,0,0,3,159674.0,-1712630.0,-621564.0,,"159674,-1712630,-621564"
38,198044323729000,0.0211706,1,fixation_before,4,198044315119100,0,0,3,156476.0,-1717284.0,-626497.0,,"156476,-1717284,-626497"
39,198044323998500,0.0214401,1,fixation_before,4,198044315119100,0,0,3,155696.0,-1716408.0,-626131.0,,"155696,-1716408,-626131"
