sample_index,pc_time_ns,experiment_time_s,phase_code,phase_name,frame_index,frame_time_ns,stimulus_active,stimulus_on_mask,serial_channel_count,ch1,ch2,ch3,parse_error,raw_line
0,198479155558200,0.010849,1,fixation_before,3,198479148969000,0,0,3,-101172.0,-291504.0,-974264.0,,"-101172,-291504,-974264"
1,198479155869100,0.0111599,1,fixation_before,3,198479148969000,0,0,3,-107142.0,-293543.0,-979536.0,,"-107142,-293543,-979536"
2,198479156144400,0.0114352,1,fixation_before,3,198479148969000,0,0,3,-114026.0,-294992.0,-985068.0,,"-114026,-294992,-985068"
3,198479156412900,0.0117037,1,fixation_before,3,198479148969000,0,0,3,-121081.0,-296237.0,-991224.0,,"-121081,-296237,-991224"
4,198479156681400,0.0119722,1,fixation_before,3,198479148969000,0,0,3,-126679.0,-297464.0,-996014.0,,"-126679,-297464,-996014"
5,198479156961300,0.0122521,1,fixation_before,3,198479148969000,0,0,3,-132146.0,-298156.0,-1000389.0,,"-132146,-298156,-1000389"
6,198479157240500,0.0125313,1,fixation_before,3,198479148969000,0,0,3,-135562.0,-298146.0,-1003509.0,,"-135562,-298146,-1003509"
7,198479157520000,0.0128108,1,fixation_before,3,198479148969000,0,0,3,-136654.0,-299366.0,-1005034.0,,"-136654,-299366,-1005034"
8,198479157798300,0.0130891,1,fixation_before,3,198479148969000,0,0,3,-137476.0,-297774.0,-1005371.0,,"-137476,-297774,-1005371"
9,198479158079300,0.0133701,1,fixation_before,3,198479148969000,0,0,3,-136605.0,-296955.0,-1004898.0,,"-136605,-296955,-1004898"
10,198479158360700,0.0136515,1,fixation_before,3,198479148969000,0,0,3,-132259.0,-295794.0,-1001698.0,,"-132259,-295794,-1001698"
11,198479158630700,0.0139215,1,fixation_before,3,198479148969000,0,0,3,-126197.0,-294147.0,-996584.0,,"-126197,-294147,-996584"
12,198479158900200,0.014191,1,fixation_before,3,198479148969000,0,0,3,-120559.0,-294374.0,-992336.0,,"-120559,-294374,-992336"
13,198479159175900,0.0144667,1,fixation_before,4,198479158792100,0,0,3,-115287.0,-294360.0,-987777.0,,"-115287,-294360,-987777"
14,198479159459200,0.01475,1,fixation_before,4,198479158792100,0,0,3,-110792.0,-293358.0,-983780.0,,"-110792,-293358,-983780"
15,198479159730600,0.0150214,1,fixation_before,4,198479158792100,0,0,3,-105679.0,-291803.0,-979379.0,,"-105679,-291803,-979379"
16,198479160001500,0.0152923,1,fixation_before,4,198479158792100,0,0,3,-101517.0,-290437.0,-975323.0,,"-101517,-290437,-975323"
17,198479160263600,0.0155544,1,fixation_before,4,198479158792100,0,0,3,-98631.0,-288733.0,-972478.0,,"-98631,-288733,-972478"
