frame_index,phase_code,phase_name,phase_frame_index,present_time_ns,experiment_time_s,stimulus_active,stimulus_on_mask,stimulus_center_10_0hz_on
0,1,fixation_before,0,198507926174100,0.0010443,0,0,0
1,1,fixation_before,1,198507927943600,0.0028138,0,0,0
2,1,fixation_before,2,198507929577600,0.0044478,0,0,0
3,1,fixation_before,3,198507929814900,0.0046851,0,0,0
4,1,fixation_before,4,198507937321900,0.0121921,0,0,0
5,1,fixation_before,5,198507954000600,0.0288708,0,0,0
6,1,fixation_before,6,198507970647900,0.0455181,0,0,0
7,1,fixation_before,7,198507987281500,0.0621517,0,0,0
8,1,fixation_before,8,198508003906200,0.0787764,0,0,0
9,1,fixation_before,9,198508020540300,0.0954105,0,0,0
10,1,fixation_before,10,198508037195300,0.1120655,0,0,0
11,1,fixation_before,11,198508053930100,0.1288003,0,0,0
12,1,fixation_before,12,198508070490200,0.1453604,0,0,0
13,1,fixation_before,13,198508087163400,0.1620336,0,0,0
14,1,fixation_before,14,198508103869800,0.17874,0,0,0
15,1,fixation_before,15,198508120523100,0.1953933,0,0,0
16,1,fixation_before,16,198508137185800,0.212056,0,0,0
17,1,fixation_before,17,198508153921200,0.2287914,0,0,0
18,1,fixation_before,18,198508170547900,0.2454181,0,0,0
19,1,fixation_before,19,198508187167600,0.2620378,0,0,0
20,1,fixation_before,20,198508203849300,0.2787195,0,0,0
21,1,fixation_before,21,198508220528900,0.2953991,0,0,0
22,1,fixation_before,22,198508237194500,0.3120647,0,0,0
23,1,fixation_before,23,198508253829800,0.3287,0,0,0
24,1,fixation_before,24,198508270538400,0.3454086,0,0,0
25,1,fixation_before,25,198508287170800,0.362041,0,0,0
26,1,fixation_before,26,198508303965500,0.3788357,0,0,0
27,1,fixation_before,27,198508320493900,0.3953641,0,0,0
28,1,fixation_before,28,198508337145500,0.4120157,0,0,0
29,1,fixation_before,29,198508353807000,0.4286772,0,0,0
30,1,fixation_before,30,198508370499300,0.4453695,0,0,0
31,1,fixation_before,31,198508387144800,0.462015,0,0,0
32,1,fixation_before,32,198508403820000,0.4786902,0,0,0
33,1,fixation_before,33,198508420479500,0.4953497,0,0,0
34,1,fixation_before,34,198508437151200,0.5120214,0,0,0
35,1,fixation_before,35,198508453799000,0.5286692,0,0,0
36,1,fixation_before,36,198508470454300,0.5453245,0,0,0
37,1,fixation_before,37,198508487126300,0.5619965,0,0,0
38,1,fixation_before,38,198508503807200,0.5786774,0,0,0
39,1,fixation_before,39,198508520714900,0.5955851,0,0,0
40,1,fixation_before,40,198508537252200,0.6121224,0,0,0
41,1,fixation_before,41,198508553833200,0.6287034,0,0,0
42,1,fixation_before,42,198508570496100,0.6453663,0,0,0
43,1,fixation_before,43,198508587127700,0.6619979,0,0,0
44,1,fixation_before,44,198508603766200,0.6786364,0,0,0
45,1,fixation_before,45,198508620409500,0.6952797,0,0,0
46,1,fixation_before,46,198508637086800,0.711957,0,0,0
47,1,fixation_before,47,198508653727700,0.7285979,0,0,0
48,1,fixation_before,48,198508670402200,0.7452724,0,0,0
49,1,fixation_before,49,198508687221100,0.7620913,0,0,0
50,1,fixation_before,50,198508703782800,0.778653,0,0,0
51,1,fixation_before,51,198508720399400,0.7952696,0,0,0
52,1,fixation_before,52,198508737082000,0.8119522,0,0,0
53,1,fixation_before,53,198508753769800,0.82864,0,0,0
54,1,fixation_before,54,198508770391400,0.8452616,0,0,0
55,1,fixation_before,55,198508787083100,0.8619533,0,0,0
56,1,fixation_before,56,198508803727800,0.878598,0,0,0
57,1,fixation_before,57,198508820380300,0.8952505,0,0,0
58,1,fixation_before,58,198508837131200,0.9120014,0,0,0
59,1,fixation_before,59,198508853738500,0.9286087,0,0,0
60,1,fixation_before,60,198508870377800,0.945248,0,0,0
61,1,fixation_before,61,198508887018900,0.9618891,0,0,0
62,1,fixation_before,62,198508903741200,0.9786114,0,0,0
63,1,fixation_before,63,198508920383500,0.9952537,0,0,0
64,1,fixation_before,64,198508937085800,1.011956,0,0,0
65,1,fixation_before,65,198508953733000,1.0286032,0,0,0
66,1,fixation_before,66,198508970384000,1.0452542,0,0,0
67,1,fixation_before,67,198508987190900,1.0620611,0,0,0
68,1,fixation_before,68,198509003821400,1.0786916,0,0,0
69,1,fixation_before,69,198509020386500,1.0952567,0,0,0
70,1,fixation_before,70,198509037091900,1.1119621,0,0,0
71,1,fixation_before,71,198509053729400,1.1285996,0,0,0
72,1,fixation_before,72,198509070414000,1.1452842,0,0,0
73,1,fixation_before,73,198509087150800,1.162021,0,0,0
74,1,fixation_before,74,198509103713800,1.178584,0,0,0
75,1,fixation_before,75,198509120332500,1.1952027,0,0,0
76,1,fixation_before,76,198509137010300,1.2118805,0,0,0
77,1,fixation_before,77,198509153674100,1.2285443,0,0,0
78,1,fixation_before,78,198509170312400,1.2451826,0,0,0
79,1,fixation_before,79,198509186974000,1.2618442,0,0,0
80,1,fixation_before,80,198509203712600,1.2785828,0,0,0
81,1,fixation_before,81,198509220332200,1.2952024,0,0,0
82,1,fixation_before,82,198509237043900,1.3119141,0,0,0
83,1,fixation_before,83,198509253710500,1.3285807,0,0,0
84,1,fixation_before,84,198509270323100,1.3451933,0,0,0
85,1,fixation_before,85,198509286991500,1.3618617,0,0,0
86,1,fixation_before,86,198509303664900,1.3785351,0,0,0
87,1,fixation_before,87,198509320314400,1.3951846,0,0,0
88,1,fixation_before,88,198509336971500,1.4118417,0,0,0
89,1,fixation_before,89,198509353703500,1.4285737,0,0,0
90,1,fixation_before,90,198509370340400,1.4452106,0,0,0
91,1,fixation_before,91,198509386985300,1.4618555,0,0,0
92,1,fixation_before,92,198509403658700,1.4785289,0,0,0
93,1,fixation_before,93,198509420310400,1.4951806,0,0,0
94,1,fixation_before,94,198509436987000,1.5118572,0,0,0
95,1,fixation_before,95,198509453640300,1.5285105,0,0,0
96,1,fixation_before,96,198509470313100,1.5451833,0,0,0
97,1,fixation_before,97,198509486976500,1.5618467,0,0,0
98,1,fixation_before,98,198509503638000,1.5785082,0,0,0
99,1,fixation_before,99,198509520268700,1.5951389,0,0,0
100,1,fixation_before,100,198509536956800,1.611827,0,0,0
101,1,fixation_before,101,198509553639200,1.6285094,0,0,0
102,1,fixation_before,102,198509570306900,1.6451771,0,0,0
103,1,fixation_before,103,198509586950200,1.6618204,0,0,0
104,1,fixation_before,104,198509603665700,1.6785359,0,0,0
105,1,fixation_before,105,198509620361100,1.6952313,0,0,0
106,1,fixation_before,106,198509636949200,1.7118194,0,0,0
107,1,fixation_before,107,198509653574900,1.7284451,0,0,0
108,1,fixation_before,108,198509670244600,1.7451148,0,0,0
109,1,fixation_before,109,198509686928300,1.7617985,0,0,0
110,1,fixation_before,110,198509703572400,1.7784426,0,0,0
111,1,fixation_before,111,198509720249100,1.7951193,0,0,0
112,1,fixation_before,112,198509736929600,1.8117998,0,0,0
