phase_name,channel,kind,rank,sample_index,experiment_time_s,value
fixation_after,ch1,max,1,23426,22.8752768,-104130.0
fixation_after,ch1,max,2,22206,21.6552123,-104220.0
fixation_after,ch1,min,1,24417,23.8663378,-145477.0
fixation_after,ch1,min,2,24857,24.3063368,-144842.0
fixation_after,ch2,max,1,22919,22.3682736,-268056.0
fixation_after,ch2,max,2,23425,22.8742997,-291115.0
fixation_after,ch2,min,1,22920,22.3692959,-320278.0
fixation_after,ch2,min,2,19034,18.4832062,-306519.0
fixation_after,ch3,max,1,22206,21.6552123,-982988.0
fixation_after,ch3,max,2,23426,22.8752768,-983334.0
fixation_after,ch3,min,1,22920,22.3692959,-1023546.0
fixation_after,ch3,min,2,19034,18.4832062,-1017973.0
fixation_before,ch1,max,1,299,0.0831046,-96026.0
fixation_before,ch1,max,2,480,0.1327571,-97042.0
fixation_before,ch1,min,1,1790,1.2387663,-145403.0
fixation_before,ch1,min,2,1710,1.1587779,-145365.0
fixation_before,ch2,max,1,238,0.0665081,-290587.0
fixation_before,ch2,max,2,538,0.1486573,-290615.0
fixation_before,ch2,min,1,5950,5.3988674,-305300.0
fixation_before,ch2,min,2,6350,5.7989081,-304925.0
fixation_before,ch3,max,1,299,0.0831046,-976681.0
fixation_before,ch3,max,2,480,0.1327571,-978307.0
fixation_before,ch3,min,1,690,0.1902459,-1019240.0
fixation_before,ch3,min,2,489,0.1352437,-1019001.0
stimulus,ch1,max,1,15244,14.6931229,-103607.0
stimulus,ch1,max,2,15224,14.6730944,-104132.0
stimulus,ch1,min,1,13693,13.1420495,-143088.0
stimulus,ch1,min,2,12533,11.9820074,-142543.0
stimulus,ch2,max,1,14102,13.5510779,-290202.0
stimulus,ch2,max,2,15262,14.71108,-291495.0
stimulus,ch2,min,1,10531,9.9799735,-303862.0
stimulus,ch2,min,2,10731,10.1799716,-303554.0
stimulus,ch3,max,1,15364,14.8130909,-983256.0
stimulus,ch3,max,2,14404,13.8530642,-983454.0
stimulus,ch3,min,1,10973,10.4220016,-1016072.0
stimulus,ch3,min,2,11053,10.5020187,-1015836.0
